time,x,y,id,risk-so-far,total-risk
5.32,4.0364,2.0651,5,0.0,0.00010643444897329157
5.36,2.4299,1.9741,1,0.0,0.0
5.36,2.8155,3.0255,2,0.0,0.0
5.36,3.0264,3.6755,3,0.0,0.0
5.36,3.583,1.4993,4,0.0,0.0
5.36,3.9593,2.0562,5,0.0,0.00010643444897329157
5.4,2.3722,1.9724,1,0.0,0.0
5.4,2.7643,3.0235,2,0.0,0.0
5.4,2.9471,3.6677,3,0.0,0.0
5.4,3.5254,1.4925,4,0.0,0.0
5.4,3.8741,2.0647,5,0.0,0.00010643444897329157
5.44,2.3147,1.9681,1,0.0,0.0
5.44,2.7148,3.0253,2,0.0,0.0
5.44,2.8774,3.6871,3,0.0,0.0
5.44,3.4725,1.4768,4,0.0,0.0
5.44,3.8068,2.0701,5,0.0,0.00010643444897329157
5.48,2.2572,1.9611,1,0.0,0.0
5.48,2.6662,3.0269,2,0.0,0.0
5.48,2.8223,3.669,3,0.0,0.0
5.48,3.4245,1.4725,4,0.0,0.0
5.48,3.7279,2.0756,5,0.0,0.00010643444897329157
5.48,4.5815,3.0809,6,0.0,0.0011719952137613232
5.5200000000000005,2.197,1.9567,1,0.0,0.0
5.5200000000000005,2.6093,3.0286,2,0.0,0.0
5.5200000000000005,2.7771,3.6711,3,0.0,0.0
5.5200000000000005,3.3751,1.4579,4,0.0,0.0
5.5200000000000005,3.6543,2.0813,5,0.0,0.00010643444897329157
5.5200000000000005,4.5205,3.0863,6,0.0,0.0011719952137613232
5.5600000000000005,2.1368,1.9497,1,0.0,0.0
5.5600000000000005,2.5487,3.0326,2,0.0,0.0
5.5600000000000005,2.716,3.674,3,0.0,0.0
5.5600000000000005,3.3268,1.4499,4,0.0,0.0
5.5600000000000005,3.5905,2.0842,5,0.0,0.00010643444897329157
5.5600000000000005,4.4638,3.0889,6,0.0,0.0011719952137613232
5.6000000000000005,2.0769,1.9374,1,0.0,0.0
5.6000000000000005,2.4837,3.0352,2,0.0,0.0
5.6000000000000005,2.6542,3.6751,3,0.0,0.0
5.6000000000000005,3.2748,1.4352,4,0.0,0.0
5.6000000000000005,3.5361,2.0882,5,0.0,0.00010643444897329157
5.6000000000000005,4.4115,3.0821,6,0.0,0.0011719952137613232
5.64,2.0195,1.9278,1,0.0,0.0
5.64,2.4198,3.0413,2,0.0,0.0
5.64,2.5878,3.6797,3,0.0,0.0
5.64,3.2147,1.4256,4,0.0,0.0
5.64,3.4759,2.0838,5,0.0,0.00010643444897329157
5.64,4.367,3.0808,6,0.0,0.0011719952137613232
5.68,1.9647,1.9157,1,0.0,0.0
5.68,2.3484,3.0419,2,0.0,0.0
5.68,2.5227,3.6833,3,0.0,0.0
5.68,3.1561,1.4146,4,0.0,0.0
5.68,3.4155,2.0847,5,0.0,0.00010643444897329157
5.68,4.3213,3.0745,6,0.0,0.0011719952137613232
5.72,1.9118,1.909,1,0.0,0.0
5.72,2.2799,3.0504,2,0.0,0.0
5.72,2.4568,3.6849,3,0.0,0.0
5.72,3.0999,1.4064,4,0.0,0.0
5.72,3.342,2.0877,5,0.0,0.00010643444897329157
5.72,4.2726,3.078,6,0.0,0.0011719952137613232
5.76,1.855,1.8993,1,0.0,0.0
5.76,2.2193,3.059,2,0.0,0.0
5.76,2.3822,3.6832,3,0.0,0.0
5.76,3.0294,1.3938,4,0.0,0.0
5.76,3.2632,2.0907,5,0.0,0.00010643444897329157
5.76,4.207,3.0787,6,0.0,0.0011719952137613232
5.8,1.8028,1.8925,1,0.0,0.0
5.8,2.1667,3.0654,2,0.0,0.0
5.8,2.3146,3.6927,3,0.0,0.0
5.8,2.9681,1.3828,4,0.0,0.0
5.8,3.1923,2.0938,5,0.0,0.00010643444897329157
5.8,4.1469,3.0717,6,0.0,0.0011719952137613232
5.8,4.6543,1.5097,7,0.0,0.0
5.84,1.7518,1.8925,1,0.0,0.0
5.84,2.1115,3.069,2,0.0,0.0
