point cloud with 2216 points in dimension 2
value range: [3.57628e-07,0.84845]
distance matrix with 2216 points, using threshold at enclosing radius 0.430699
persistence intervals in dim 0:
 [0,2.77162e-05)
 [0,2.7895e-05)
 [0,2.7895e-05)
 [0,2.7895e-05)
 [0,2.8193e-05)
 [0,2.8193e-05)
 [0,2.82526e-05)
 [0,2.89679e-05)
 [0,2.92063e-05)
 [0,2.94447e-05)
 [0,3.016e-05)
 [0,3.02792e-05)
 [0,3.0756e-05)
 [0,3.24845e-05)
 [0,3.25441e-05)
 [0,3.26633e-05)
 [0,3.28422e-05)
 [0,3.30806e-05)
 [0,3.31998e-05)
 [0,3.34382e-05)
 [0,3.3915e-05)
 [0,3.42727e-05)
 [0,3.45111e-05)
 [0,3.45707e-05)
 [0,3.46303e-05)
 [0,3.52263e-05)
 [0,3.56436e-05)
 [0,3.6478e-05)
 [0,3.70741e-05)
 [0,3.71933e-05)
 [0,3.80874e-05)
 [0,3.8445e-05)
 [0,3.86238e-05)
 [0,3.9041e-05)
 [0,3.91603e-05)
 [0,3.95775e-05)
 [0,3.95775e-05)
 [0,4.02033e-05)
 [0,4.1306e-05)
 [0,4.15444e-05)
 [0,4.23193e-05)
 [0,4.25577e-05)
 [0,4.27961e-05)
 [0,4.29153e-05)
 [0,4.3571e-05)
 [0,4.42266e-05)
 [0,4.43459e-05)
 [0,4.44055e-05)
 [0,4.60744e-05)
 [0,4.68493e-05)
 [0,4.70281e-05)
 [0,4.70877e-05)
 [0,4.73261e-05)
 [0,4.73857e-05)
 [0,4.80413e-05)
 [0,4.80413e-05)
 [0,4.8399e-05)
 [0,4.84586e-05)
 [0,4.86374e-05)
 [0,4.88162e-05)
 [0,4.91738e-05)
 [0,4.94123e-05)
 [0,4.98295e-05)
 [0,4.98295e-05)
 [0,5.01275e-05)
 [0,5.07236e-05)
 [0,5.16176e-05)
 [0,5.20945e-05)
 [0,5.20945e-05)
 [0,5.22733e-05)
 [0,5.25713e-05)
 [0,5.29289e-05)
 [0,5.33462e-05)
 [0,5.34058e-05)
 [0,5.3823e-05)
 [0,5.41806e-05)
 [0,5.45979e-05)
 [0,5.48959e-05)
 [0,5.51939e-05)
 [0,5.51939e-05)
 [0,5.53131e-05)
 [0,5.55515e-05)
 [0,5.56111e-05)
 [0,5.56111e-05)
 [0,5.79357e-05)
 [0,5.96046e-05)
 [0,5.96046e-05)
 [0,6.1214e-05)
 [0,6.12736e-05)
 [0,6.19888e-05)
 [0,6.27041e-05)
 [0,6.34193e-05)
 [0,6.40154e-05)
 [0,6.44326e-05)
 [0,6.45518e-05)
 [0,6.47902e-05)
 [0,6.49095e-05)
 [0,6.51479e-05)
 [0,6.55651e-05)
 [0,6.61611e-05)
 [0,6.62804e-05)
 [0,6.68466e-05)
 [0,6.70552e-05)
 [0,6.7085e-05)
 [0,6.79493e-05)
 [0,6.81281e-05)
 [0,6.9499e-05)
 [0,7.05123e-05)
 [0,7.09891e-05)
 [0,7.15852e-05)
 [0,7.20024e-05)
 [0,7.25389e-05)
 [0,7.25985e-05)
 [0,7.30157e-05)
 [0,7.34329e-05)
 [0,7.45654e-05)
 [0,7.52807e-05)
 [0,7.56979e-05)
 [0,7.74264e-05)
 [0,7.84397e-05)
 [0,7.84993e-05)
 [0,7.85589e-05)
 [0,7.93338e-05)
 [0,7.96318e-05)
 [0,7.96914e-05)
 [0,7.98106e-05)
 [0,8.03471e-05)
 [0,8.09431e-05)
 [0,8.11219e-05)
 [0,8.21352e-05)
 [0,8.22544e-05)
 [0,8.26716e-05)
 [0,8.27909e-05)
 [0,8.33869e-05)
 [0,8.34465e-05)
 [0,8.38041e-05)
 [0,8.60691e-05)
 [0,8.61287e-05)
 [0,8.64267e-05)
 [0,8.74996e-05)
 [0,8.79765e-05)
 [0,8.82745e-05)
 [0,8.84533e-05)
 [0,8.86917e-05)
 [0,9.06587e-05)
 [0,9.13143e-05)
 [0,9.13143e-05)
 [0,9.13739e-05)
 [0,9.14931e-05)
 [0,9.18508e-05)
 [0,9.197e-05)
 [0,9.25064e-05)
 [0,9.27448e-05)
 [0,9.28044e-05)
 [0,9.30428e-05)
 [0,9.32813e-05)
 [0,9.36985e-05)
 [0,9.38773e-05)
 [0,9.42945e-05)
 [0,9.47118e-05)
 [0,9.47118e-05)
 [0,9.49502e-05)
 [0,9.56654e-05)
