point cloud with 12527 points in dimension 2
value range: [0,0.84848]
distance matrix with 12527 points, using threshold at enclosing radius 0.425066
persistence intervals in dim 0:
 [0,7.09295e-06)
 [0,7.15256e-06)
 [0,7.15256e-06)
 [0,7.15256e-06)
 [0,7.15256e-06)
 [0,7.21216e-06)
 [0,7.21216e-06)
 [0,7.21216e-06)
 [0,7.24196e-06)
 [0,7.27177e-06)
 [0,7.27177e-06)
 [0,7.33137e-06)
 [0,7.33137e-06)
 [0,7.39098e-06)
 [0,7.45058e-06)
 [0,7.51019e-06)
 [0,7.51019e-06)
 [0,7.51019e-06)
 [0,7.51019e-06)
 [0,7.51019e-06)
 [0,7.56979e-06)
 [0,7.56979e-06)
 [0,7.56979e-06)
 [0,7.56979e-06)
 [0,7.56979e-06)
 [0,7.56979e-06)
 [0,7.56979e-06)
 [0,7.62939e-06)
 [0,7.62939e-06)
 [0,7.62939e-06)
 [0,7.62939e-06)
 [0,7.689e-06)
 [0,7.689e-06)
 [0,7.689e-06)
 [0,7.689e-06)
 [0,7.689e-06)
 [0,7.689e-06)
 [0,7.689e-06)
 [0,7.689e-06)
 [0,7.689e-06)
 [0,7.7486e-06)
 [0,7.7486e-06)
 [0,7.7486e-06)
 [0,7.80821e-06)
 [0,7.80821e-06)
 [0,7.80821e-06)
 [0,7.80821e-06)
 [0,7.80821e-06)
 [0,7.86781e-06)
 [0,7.92742e-06)
 [0,7.92742e-06)
 [0,7.92742e-06)
 [0,7.98702e-06)
 [0,7.98702e-06)
 [0,7.98702e-06)
 [0,7.98702e-06)
 [0,7.98702e-06)
 [0,7.98702e-06)
 [0,8.04663e-06)
 [0,8.04663e-06)
 [0,8.04663e-06)
 [0,8.04663e-06)
 [0,8.04663e-06)
 [0,8.04663e-06)
 [0,8.10623e-06)
 [0,8.10623e-06)
 [0,8.16584e-06)
 [0,8.16584e-06)
 [0,8.16584e-06)
 [0,8.22544e-06)
 [0,8.22544e-06)
 [0,8.22544e-06)
 [0,8.25524e-06)
 [0,8.28505e-06)
 [0,8.28505e-06)
 [0,8.28505e-06)
 [0,8.28505e-06)
 [0,8.34465e-06)
 [0,8.34465e-06)
 [0,8.40425e-06)
 [0,8.40425e-06)
 [0,8.40425e-06)
 [0,8.46386e-06)
 [0,8.46386e-06)
 [0,8.46386e-06)
 [0,8.46386e-06)
 [0,8.46386e-06)
 [0,8.52346e-06)
 [0,8.58307e-06)
 [0,8.58307e-06)
 [0,8.64267e-06)
 [0,8.64267e-06)
 [0,8.70228e-06)
 [0,8.70228e-06)
 [0,8.70228e-06)
 [0,8.73208e-06)
 [0,8.82149e-06)
 [0,8.82149e-06)
 [0,8.82149e-06)
 [0,8.82149e-06)
 [0,8.88109e-06)
 [0,8.88109e-06)
 [0,8.88109e-06)
 [0,8.9407e-06)
 [0,8.9407e-06)
 [0,9.0003e-06)
 [0,9.0003e-06)
 [0,9.0003e-06)
 [0,9.11951e-06)
 [0,9.11951e-06)
 [0,9.11951e-06)
 [0,9.11951e-06)
 [0,9.17912e-06)
 [0,9.17912e-06)
 [0,9.23872e-06)
 [0,9.29832e-06)
 [0,9.29832e-06)
 [0,9.29832e-06)
 [0,9.29832e-06)
 [0,9.29832e-06)
 [0,9.32813e-06)
 [0,9.32813e-06)
 [0,9.35793e-06)
 [0,9.35793e-06)
 [0,9.35793e-06)
 [0,9.35793e-06)
 [0,9.41753e-06)
 [0,9.41753e-06)
 [0,9.41753e-06)
 [0,9.47714e-06)
