point cloud with 27103 points in dimension 3
value range: [0.0371618,156.178]
sparse distance matrix with 27103 points and 27042/367286304 entries
persistence intervals in dim 0:
 [0,0.0371618)
 [0,0.0404968)
 [0,0.0436805)
 [0,0.0505668)
 [0,0.0952733)
 [0,0.109772)
 [0,0.110386)
 [0,0.119038)
 [0,0.1364)
 [0,0.137714)
 [0,0.138654)
 [0,0.141905)
 [0,0.143028)
 [0,0.144014)
 [0,0.144837)
 [0,0.145801)
 [0,0.147218)
 [0,0.148408)
 [0,0.148973)
 [0,0.151172)
 [0,0.152957)
 [0,0.153395)
 [0,0.153941)
 [0,0.154305)
 [0,0.156115)
 [0,0.157544)
 [0,0.160012)
 [0,0.160125)
 [0,0.160312)
 [0,0.160328)
 [0,0.161009)
 [0,0.162788)
 [0,0.162963)
 [0,0.163294)
 [0,0.164478)
 [0,0.165076)
 [0,0.166739)
 [0,0.168861)
 [0,0.17102)
 [0,0.17147)
 [0,0.171494)
 [0,0.172154)
 [0,0.172235)
 [0,0.172418)
 [0,0.172456)
 [0,0.172662)
 [0,0.174597)
 [0,0.177342)
 [0,0.177342)
 [0,0.177654)
 [0,0.1778)
 [0,0.178757)
 [0,0.179614)
 [0,0.179878)
 [0,0.180278)
 [0,0.180712)
 [0,0.181135)
 [0,0.181618)
 [0,0.182965)
 [0,0.183218)
 [0,0.183273)
 [0,0.183861)
 [0,0.184358)
 [0,0.184619)
 [0,0.184946)
 [0,0.185914)
 [0,0.186272)
 [0,0.186657)
 [0,0.187553)
 [0,0.188351)
 [0,0.189336)
 [0,0.189476)
 [0,0.189771)
 [0,0.190247)
 [0,0.192003)
 [0,0.192315)
 [0,0.192754)
 [0,0.193215)
 [0,0.194247)
 [0,0.195412)
 [0,0.196817)
 [0,0.197091)
 [0,0.197467)
 [0,0.198406)
 [0,0.198668)
 [0,0.200569)
 [0,0.201099)
 [0,0.201951)
 [0,0.2022)
 [0,0.202588)
 [0,0.203022)
 [0,0.203081)
 [0,0.203177)
 [0,0.203246)
 [0,0.203666)
 [0,0.204012)
 [0,0.204626)
 [0,0.205205)
 [0,0.205767)
 [0,0.206303)
 [0,0.2064)
 [0,0.20648)
 [0,0.206886)
 [0,0.207155)
 [0,0.207299)
 [0,0.207328)
 [0,0.207523)
 [0,0.208255)
 [0,0.208923)
 [0,0.209308)
 [0,0.209459)
 [0,0.209881)
 [0,0.210021)
 [0,0.210402)
 [0,0.211002)
 [0,0.211835)
 [0,0.212078)
 [0,0.212476)
 [0,0.212513)
 [0,0.213265)
 [0,0.213565)
 [0,0.213582)
 [0,0.213663)
 [0,0.214255)
 [0,0.21487)
 [0,0.215232)
 [0,0.21552)
 [0,0.216889)
 [0,0.217083)
 [0,0.217347)
 [0,0.217518)
 [0,0.217524)
 [0,0.218323)
 [0,0.21833)
 [0,0.218769)
 [0,0.219328)
 [0,0.219447)
 [0,0.220495)
 [0,0.22107)
 [0,0.22135)
 [0,0.221353)
 [0,0.221687)
 [0,0.221712)
 [0,0.22193)
 [0,0.2222)
 [0,0.222252)
 [0,0.222686)
 [0,0.222749)
 [0,0.22309)
 [0,0.223681)
 [0,0.223732)
 [0,0.223893)
 [0,0.224294)
 [0,0.224397)
 [0,0.224589)
 [0,0.224742)
 [0,0.224849)
 [0,0.225178)
 [0,0.225204)
 [0,0.22522)
 [0,0.225624)
 [0,0.226141)
 [0,0.226206)
 [0,0.226279)
 [0,0.226433)
 [0,0.226491)
 [0,0.226524)
 [0,0.226612)
 [0,0.226638)
 [0,0.226832)
 [0,0.227178)
 [0,0.227563)
 [0,0.227706)
 [0,0.227772)
 [0,0.227846)
 [0,0.228429)
 [0,0.228443)
 [0,0.228642)
 [0,0.228712)
 [0,0.228954)
 [0,0.228954)
 [0,0.229072)
 [0,0.229192)
 [0,0.229262)
 [0,0.229445)
 [0,0.229752)
 [0,0.23)
 [0,0.230009)
 [0,0.230263)
 [0,0.230705)
 [0,0.231037)
 [0,0.231139)
 [0,0.231387)
 [0,0.231607)
 [0,0.231741)
 [0,0.232039)
 [0,0.232142)
 [0,0.232777)
 [0,0.233094)
 [0,0.233206)
 [0,0.233238)
 [0,0.233309)
 [0,0.233345)
 [0,0.23342)
 [0,0.234096)
 [0,0.234463)
 [0,0.23461)
 [0,0.235104)
 [0,0.235194)
 [0,0.235228)
 [0,0.235468)
 [0,0.235671)
 [0,0.235867)
 [0,0.236316)
 [0,0.236502)
 [0,0.236865)
 [0,0.236913)
 [0,0.236922)
 [0,0.237457)
 [0,0.237497)
 [0,0.237539)
 [0,0.237811)
 [0,0.238053)
 [0,0.23812)
 [0,0.238321)
 [0,0.238472)
 [0,0.239134)
 [0,0.239385)
 [0,0.239885)
 [0,0.239927)
 [0,0.240352)
 [0,0.240393)
 [0,0.240554)
 [0,0.240601)
 [0,0.240751)
 [0,0.240801)
 [0,0.241448)
 [0,0.241979)
 [0,0.242002)
 [0,0.242033)
 [0,0.242423)
 [0,0.242528)
 [0,0.242621)
 [0,0.2428)
 [0,0.243187)
 [0,0.243655)
 [0,0.243824)
 [0,0.243852)
 [0,0.243988)
 [0,0.244086)
 [0,0.244107)
 [0,0.244125)
 [0,0.24418)
 [0,0.244246)
 [0,0.244469)
 [0,0.244675)
 [0,0.244769)
 [0,0.245123)
 [0,0.245153)
 [0,0.245459)
 [0,0.245459)
 [0,0.245693)
 [0,0.245978)
 [0,0.246008)
 [0,0.246051)
 [0,0.2461)
 [0,0.246164)
 [0,0.24627)
 [0,0.246757)
 [0,0.247008)
 [0,0.247032)
 [0,0.247132)
 [0,0.247251)
 [0,0.247315)
 [0,0.247316)
 [0,0.247421)
 [0,0.247736)
 [0,0.247935)
 [0,0.247988)
 [0,0.248069)
 [0,0.248085)
 [0,0.248202)
 [0,0.248365)
 [0,0.249177)
 [0,0.249209)
 [0,0.249359)
 [0,0.249369)
 [0,0.249447)
 [0,0.249562)
 [0,0.249612)
 [0,0.24965)
 [0,0.249834)
 [0,0.250264)
 [0,0.250338)
 [0,0.250338)
 [0,0.25044)
 [0,0.250667)
 [0,0.251002)
 [0,0.251048)
 [0,0.251098)
 [0,0.251199)
 [0,0.251241)
 [0,0.251406)
 [0,0.251468)
 [0,0.251557)
 [0,0.252008)
 [0,0.252248)
 [0,0.252367)
 [0,0.252388)
 [0,0.252517)
 [0,0.25267)
 [0,0.252676)
 [0,0.252982)
 [0,0.252982)
 [0,0.253031)
 [0,0.253055)
 [0,0.253403)
 [0,0.253712)
 [0,0.2539)
 [0,0.254065)
 [0,0.254283)
 [0,0.254285)
 [0,0.254403)
 [0,0.254466)
 [0,0.254566)
 [0,0.254568)
 [0,0.255265)
 [0,0.255472)
 [0,0.255486)
 [0,0.25565)
 [0,0.255691)
 [0,0.25607)
 [0,0.25626)
 [0,0.256281)
 [0,0.25632)
