point cloud with 11681 points in dimension 3
value range: [0.0404968,186.678]
sparse distance matrix with 11681 points and 1904/68222880 entries
persistence intervals in dim 0:
 [0,0.0404968)
 [0,0.0575674)
 [0,0.0761184)
 [0,0.153584)
 [0,0.159452)
 [0,0.237497)
 [0,0.241423)
 [0,0.263372)
 [0,0.269863)
 [0,0.291122)
 [0,0.294771)
 [0,0.296435)
 [0,0.297136)
 [0,0.301179)
 [0,0.306437)
 [0,0.309011)
 [0,0.30948)
 [0,0.310427)
 [0,0.310847)
 [0,0.31085)
 [0,0.310934)
 [0,0.314816)
 [0,0.314841)
 [0,0.315317)
 [0,0.315484)
 [0,0.322552)
 [0,0.323303)
 [0,0.323975)
 [0,0.324077)
 [0,0.324617)
 [0,0.325613)
 [0,0.326075)
 [0,0.328672)
 [0,0.333766)
 [0,0.334887)
 [0,0.335006)
 [0,0.337753)
 [0,0.339478)
 [0,0.339612)
 [0,0.340219)
 [0,0.341552)
 [0,0.341927)
 [0,0.342117)
 [0,0.346347)
 [0,0.34986)
 [0,0.351283)
 [0,0.352346)
 [0,0.352661)
 [0,0.354239)
 [0,0.354645)
 [0,0.355013)
 [0,0.35614)
 [0,0.356612)
 [0,0.357022)
 [0,0.357136)
 [0,0.358236)
 [0,0.358522)
 [0,0.358558)
 [0,0.358848)
 [0,0.359234)
 [0,0.359427)
 [0,0.359981)
 [0,0.361012)
 [0,0.361809)
 [0,0.361964)
 [0,0.362491)
 [0,0.362933)
 [0,0.364472)
 [0,0.364497)
 [0,0.364973)
 [0,0.365218)
 [0,0.365657)
 [0,0.366956)
 [0,0.367)
 [0,0.367022)
 [0,0.367104)
 [0,0.367376)
 [0,0.367984)
 [0,0.36978)
 [0,0.370061)
 [0,0.370309)
 [0,0.370935)
 [0,0.372001)
 [0,0.372066)
 [0,0.372132)
 [0,0.372773)
 [0,0.372787)
 [0,0.372839)
 [0,0.373048)
 [0,0.373508)
 [0,0.374342)
 [0,0.375213)
 [0,0.37549)
 [0,0.375936)
 [0,0.375996)
 [0,0.37647)
 [0,0.376825)
 [0,0.376948)
 [0,0.377584)
 [0,0.377831)
 [0,0.379021)
 [0,0.379153)
 [0,0.38049)
 [0,0.380581)
 [0,0.380757)
 [0,0.381142)
 [0,0.381163)
 [0,0.381366)
 [0,0.381483)
 [0,0.381608)
 [0,0.381956)
 [0,0.382188)
 [0,0.382447)
 [0,0.382958)
 [0,0.38297)
 [0,0.383099)
 [0,0.383604)
 [0,0.383718)
 [0,0.383783)
 [0,0.384194)
 [0,0.384974)
 [0,0.385032)
 [0,0.385187)
 [0,0.385498)
 [0,0.38553)
 [0,0.386435)
 [0,0.387105)
 [0,0.387505)
 [0,0.387621)
 [0,0.38764)
 [0,0.38766)
 [0,0.388326)
 [0,0.38833)
 [0,0.38863)
 [0,0.389782)
 [0,0.389974)
 [0,0.390006)
 [0,0.391174)
 [0,0.391184)
 [0,0.392185)
 [0,0.393082)
 [0,0.393487)
 [0,0.393838)
 [0,0.393935)
 [0,0.394005)
 [0,0.394005)
 [0,0.394994)
 [0,0.395248)
 [0,0.395278)
 [0,0.395419)
 [0,0.395991)
 [0,0.396225)
 [0,0.396267)
 [0,0.396308)
 [0,0.396627)
 [0,0.397544)
 [0,0.397555)
 [0,0.398137)
 [0,0.398283)
