point cloud with 51789 points in dimension 3
value range: [0.00412317,182.313]
sparse distance matrix with 51789 points and 65359/1341050260 entries
persistence intervals in dim 0:
 [0,0.00412317)
 [0,0.00894416)
 [0,0.010198)
 [0,0.0134165)
 [0,0.0142125)
 [0,0.0151329)
 [0,0.0161244)
 [0,0.0161555)
 [0,0.017088)
 [0,0.0178885)
 [0,0.0186011)
 [0,0.0191049)
 [0,0.0198493)
 [0,0.0200001)
 [0,0.0214009)
 [0,0.0215406)
 [0,0.0226718)
 [0,0.0233452)
 [0,0.026077)
 [0,0.0280179)
 [0,0.0280713)
 [0,0.0283021)
 [0,0.0291547)
 [0,0.0294279)
 [0,0.0297321)
 [0,0.0304795)
 [0,0.0321403)
 [0,0.0326958)
 [0,0.0329849)
 [0,0.0332415)
 [0,0.0335409)
 [0,0.0336156)
 [0,0.0340588)
 [0,0.0346553)
 [0,0.0348852)
 [0,0.0353553)
 [0,0.0353836)
 [0,0.0356932)
 [0,0.0358051)
 [0,0.036)
 [0,0.0360555)
 [0,0.0360555)
 [0,0.0362216)
 [0,0.0366742)
 [0,0.0368782)
 [0,0.0368918)
 [0,0.0372157)
 [0,0.0376962)
 [0,0.0380132)
 [0,0.0384837)
 [0,0.0386005)
 [0,0.0389102)
 [0,0.0390002)
 [0,0.0390129)
 [0,0.0390512)
 [0,0.0394082)
 [0,0.0395601)
 [0,0.040025)
 [0,0.0402617)
 [0,0.0403112)
 [0,0.0406078)
 [0,0.0410122)
 [0,0.0413038)
 [0,0.0414367)
 [0,0.0414849)
 [0,0.0421901)
 [0,0.0429418)
 [0,0.0430467)
 [0,0.0440454)
 [0,0.0451885)
 [0,0.0452216)
 [0,0.0453541)
 [0,0.045607)
 [0,0.0461737)
 [0,0.0462709)
 [0,0.0463249)
 [0,0.0465296)
 [0,0.0468187)
 [0,0.0472969)
 [0,0.0474342)
 [0,0.0476762)
 [0,0.0478537)
 [0,0.04827)
 [0,0.0487647)
 [0,0.0493355)
 [0,0.049366)
 [0,0.0500901)
 [0,0.050329)
 [0,0.0505668)
 [0,0.0513514)
 [0,0.0514198)
 [0,0.0519711)
 [0,0.0520001)
 [0,0.0520865)
 [0,0.0522015)
 [0,0.0523259)
 [0,0.0524977)
 [0,0.053141)
 [0,0.0536003)
 [0,0.0537587)
 [0,0.0542031)
 [0,0.0544243)
 [0,0.0549999)
 [0,0.0551543)
 [0,0.0554437)
 [0,0.0556596)
 [0,0.0557135)
 [0,0.0559463)
 [0,0.0559731)
 [0,0.0563027)
 [0,0.0565685)
 [0,0.0567537)
 [0,0.0568243)
 [0,0.0575586)
 [0,0.0575588)
 [0,0.0577061)
 [0,0.0577235)
 [0,0.0577235)
 [0,0.0578703)
 [0,0.0578704)
 [0,0.0580085)
 [0,0.0582406)
 [0,0.058549)
 [0,0.0586942)
 [0,0.0588726)
 [0,0.0589406)
 [0,0.0589408)
 [0,0.0594138)
 [0,0.0595399)
 [0,0.0595399)
 [0,0.0598081)
 [0,0.0602992)
 [0,0.0602992)
 [0,0.0604066)
 [0,0.060531)
 [0,0.060539)
 [0,0.0606383)
 [0,0.0606383)
 [0,0.0610737)
 [0,0.0612944)
 [0,0.0620081)
 [0,0.0622897)
 [0,0.0622897)
 [0,0.0622977)
 [0,0.062394)
 [0,0.062514)
 [0,0.0629683)
 [0,0.0629683)
 [0,0.0630077)
 [0,0.063008)
 [0,0.0630317)
 [0,0.0630319)
 [0,0.0631586)
 [0,0.0635611)
 [0,0.0635688)
 [0,0.0635688)
 [0,0.0637025)
 [0,0.0638122)
 [0,0.0640781)
 [0,0.0641949)
 [0,0.0647764)
 [0,0.064846)
 [0,0.0648845)
 [0,0.0649999)
 [0,0.0650307)
 [0,0.0650691)
 [0,0.065123)
 [0,0.065192)
 [0,0.0654905)
 [0,0.0659242)
 [0,0.0661891)
 [0,0.067)
 [0,0.0670298)
 [0,0.0670821)
 [0,0.0671193)
 [0,0.067231)
 [0,0.0674685)
 [0,0.0675426)
 [0,0.0676756)
 [0,0.0677421)
 [0,0.0677791)
 [0,0.0679117)
 [0,0.0680073)
 [0,0.0680293)
 [0,0.0681176)
 [0,0.0694263)
 [0,0.0702567)
 [0,0.0705762)
 [0,0.0710211)
 [0,0.0711758)
 [0,0.0720902)
 [0,0.0720902)
 [0,0.072111)
 [0,0.0724498)
 [0,0.0730067)
 [0,0.0730274)
 [0,0.0730616)
 [0,0.0736817)
 [0,0.0739999)
 [0,0.0741687)
 [0,0.075326)
 [0,0.0766943)
 [0,0.0768439)
 [0,0.0771623)
 [0,0.0780576)
 [0,0.0781023)
 [0,0.0784475)
 [0,0.080231)
 [0,0.0803057)
 [0,0.0809569)
 [0,0.0832406)
 [0,0.0839348)
 [0,0.0846462)
 [0,0.0850941)
 [0,0.0850942)
 [0,0.0852349)
 [0,0.0853815)
 [0,0.0859884)
 [0,0.0863308)
 [0,0.0865852)
 [0,0.0870977)
 [0,0.087207)
 [0,0.0883629)
 [0,0.0885268)
 [0,0.0888426)
 [0,0.089588)
 [0,0.0896938)
 [0,0.0912195)
 [0,0.0946414)
 [0,0.0948104)
 [0,0.0959636)
 [0,0.0970155)
 [0,0.0983872)
 [0,0.0985954)
 [0,0.0992975)
 [0,0.0997295)
 [0,0.100896)
 [0,0.104293)
 [0,0.105209)
 [0,0.107201)
 [0,0.107331)
 [0,0.108301)
 [0,0.110766)
 [0,0.111198)
 [0,0.113741)
 [0,0.115676)
 [0,0.116726)
 [0,0.116846)
 [0,0.117388)
 [0,0.117835)
 [0,0.11957)
 [0,0.120806)
 [0,0.121103)
 [0,0.121491)
 [0,0.127252)
 [0,0.129283)
 [0,0.129653)
 [0,0.130096)
 [0,0.130139)
 [0,0.13137)
 [0,0.132774)
 [0,0.134402)
 [0,0.135518)
 [0,0.138033)
 [0,0.138293)
 [0,0.138398)
 [0,0.139531)
 [0,0.142594)
 [0,0.145399)
 [0,0.145798)
 [0,0.149241)
 [0,0.149907)
 [0,0.149937)
 [0,0.150801)
 [0,0.15138)
 [0,0.151921)
 [0,0.152643)
 [0,0.152958)
 [0,0.153056)
 [0,0.153395)
 [0,0.154509)
 [0,0.154871)
 [0,0.155322)
 [0,0.155795)
 [0,0.156821)
 [0,0.157089)
 [0,0.158079)
 [0,0.158155)
 [0,0.159028)
 [0,0.160078)
 [0,0.160776)
 [0,0.160975)
 [0,0.162077)
 [0,0.162265)
 [0,0.162929)
 [0,0.162963)
 [0,0.16371)
 [0,0.16536)
 [0,0.166048)
 [0,0.166397)
 [0,0.167371)
 [0,0.167765)
 [0,0.16792)
 [0,0.168867)
 [0,0.169546)
 [0,0.169779)
 [0,0.170018)
 [0,0.172743)
 [0,0.173277)
 [0,0.174264)
 [0,0.176083)
 [0,0.176581)
 [0,0.176828)
 [0,0.177087)
 [0,0.177902)
 [0,0.180422)
 [0,0.180546)
 [0,0.182149)
 [0,0.183349)
 [0,0.184288)
 [0,0.185594)
 [0,0.185602)
 [0,0.187323)
 [0,0.188367)
 [0,0.189172)
 [0,0.18941)
 [0,0.191167)
 [0,0.191314)
