point cloud with 14570 points in dimension 3
value range: [0.00921953,198.861]
sparse distance matrix with 14570 points and 7056/106142449 entries
persistence intervals in dim 0:
 [0,0.00921953)
 [0,0.0158115)
 [0,0.0158115)
 [0,0.0164925)
 [0,0.0859592)
 [0,0.088142)
 [0,0.0921358)
 [0,0.0930859)
 [0,0.0930859)
 [0,0.0930859)
 [0,0.0930859)
 [0,0.0930859)
 [0,0.0931343)
 [0,0.0931345)
 [0,0.095462)
 [0,0.163371)
 [0,0.184231)
 [0,0.198457)
 [0,0.207135)
 [0,0.214002)
 [0,0.214849)
 [0,0.215604)
 [0,0.215947)
 [0,0.21866)
 [0,0.21992)
 [0,0.220839)
 [0,0.221326)
 [0,0.224771)
 [0,0.226055)
 [0,0.226214)
 [0,0.228443)
 [0,0.231698)
 [0,0.231931)
 [0,0.23342)
 [0,0.234957)
 [0,0.236256)
 [0,0.236358)
 [0,0.236425)
 [0,0.236578)
 [0,0.240071)
 [0,0.241267)
 [0,0.242998)
 [0,0.243822)
 [0,0.244403)
 [0,0.244788)
 [0,0.248365)
 [0,0.249898)
 [0,0.25032)
 [0,0.253513)
 [0,0.254372)
 [0,0.255392)
 [0,0.255644)
 [0,0.255697)
 [0,0.257031)
 [0,0.258643)
 [0,0.25894)
 [0,0.26)
 [0,0.261467)
 [0,0.262488)
 [0,0.265859)
 [0,0.266008)
 [0,0.266541)
 [0,0.267)
 [0,0.267748)
 [0,0.268315)
 [0,0.268464)
 [0,0.269941)
 [0,0.271105)
 [0,0.271459)
 [0,0.273905)
 [0,0.276471)
 [0,0.276471)
 [0,0.277007)
 [0,0.277346)
 [0,0.27821)
 [0,0.278259)
 [0,0.278352)
 [0,0.278821)
 [0,0.278959)
 [0,0.280793)
 [0,0.280872)
 [0,0.281656)
 [0,0.285044)
 [0,0.285717)
 [0,0.286225)
 [0,0.286541)
 [0,0.286541)
 [0,0.286686)
 [0,0.287007)
 [0,0.287211)
 [0,0.287507)
 [0,0.287785)
 [0,0.288735)
 [0,0.289116)
 [0,0.289946)
 [0,0.290697)
 [0,0.290746)
 [0,0.291208)
 [0,0.292181)
 [0,0.292226)
 [0,0.293138)
 [0,0.293138)
 [0,0.293402)
 [0,0.293825)
 [0,0.294703)
 [0,0.294822)
 [0,0.294824)
 [0,0.295855)
 [0,0.296022)
 [0,0.296569)
 [0,0.297061)
 [0,0.297321)
 [0,0.297469)
 [0,0.29821)
 [0,0.299207)
 [0,0.299429)
 [0,0.300323)
 [0,0.300416)
 [0,0.301159)
 [0,0.301161)
 [0,0.301529)
 [0,0.301559)
 [0,0.301841)
 [0,0.302074)
 [0,0.302394)
 [0,0.302399)
 [0,0.303041)
 [0,0.303275)
 [0,0.303555)
 [0,0.303816)
