point cloud with 41799 points in dimension 3
value range: [0.0850768,170.686]
distance matrix with 41799 points, using threshold at enclosing radius 85.3485
persistence intervals in dim 0:
 [0,0.0850768)
 [0,0.0856253)
 [0,0.108418)
 [0,0.118796)
 [0,0.121454)
 [0,0.130655)
 [0,0.131144)
 [0,0.136603)
 [0,0.136721)
 [0,0.139759)
 [0,0.143284)
 [0,0.147177)
 [0,0.151884)
 [0,0.153089)
 [0,0.155038)
 [0,0.155899)
 [0,0.162707)
 [0,0.166209)
 [0,0.166776)
 [0,0.167558)
 [0,0.16808)
 [0,0.168882)
 [0,0.172969)
 [0,0.173947)
 [0,0.179228)
 [0,0.179468)
 [0,0.181865)
 [0,0.182132)
 [0,0.18682)
 [0,0.187951)
 [0,0.189572)
 [0,0.193104)
 [0,0.194294)
 [0,0.194841)
 [0,0.196971)
 [0,0.19711)
 [0,0.197377)
 [0,0.198028)
 [0,0.199826)
 [0,0.2006)
 [0,0.201252)
 [0,0.201772)
 [0,0.201867)
 [0,0.202409)
 [0,0.202967)
 [0,0.207607)
 [0,0.208604)
 [0,0.209293)
 [0,0.210497)
 [0,0.211082)
 [0,0.211364)
 [0,0.213545)
 [0,0.213781)
 [0,0.215512)
 [0,0.21573)
 [0,0.217121)
 [0,0.217269)
 [0,0.217401)
 [0,0.217838)
 [0,0.218225)
 [0,0.218733)
 [0,0.219352)
 [0,0.220904)
 [0,0.221649)
 [0,0.223443)
 [0,0.224028)
 [0,0.224639)
 [0,0.225078)
 [0,0.225191)
 [0,0.225459)
 [0,0.225788)
 [0,0.225925)
 [0,0.226462)
 [0,0.22682)
 [0,0.228249)
 [0,0.22888)
 [0,0.229449)
 [0,0.230278)
 [0,0.230522)
 [0,0.2306)
 [0,0.230703)
 [0,0.231336)
 [0,0.231733)
 [0,0.232555)
 [0,0.232582)
 [0,0.232649)
 [0,0.232812)
 [0,0.234055)
 [0,0.235233)
 [0,0.23575)
 [0,0.235771)
 [0,0.236219)
 [0,0.236754)
 [0,0.236997)
 [0,0.23732)
 [0,0.237901)
 [0,0.237949)
 [0,0.238122)
 [0,0.239831)
 [0,0.239949)
 [0,0.240044)
 [0,0.24014)
 [0,0.240222)
 [0,0.240346)
 [0,0.240374)
 [0,0.240578)
 [0,0.240606)
 [0,0.240627)
 [0,0.240727)
 [0,0.240847)
 [0,0.24088)
 [0,0.241027)
 [0,0.241635)
 [0,0.241699)
 [0,0.241882)
 [0,0.241928)
 [0,0.242995)
 [0,0.243378)
 [0,0.243603)
 [0,0.243815)
 [0,0.244666)
 [0,0.244673)
 [0,0.245161)
 [0,0.245393)
 [0,0.245399)
 [0,0.245508)
 [0,0.245546)
 [0,0.24566)
 [0,0.246252)
 [0,0.24641)
 [0,0.246645)
 [0,0.246908)
 [0,0.247033)
 [0,0.24751)
 [0,0.248038)
 [0,0.248163)
 [0,0.248201)
 [0,0.248816)
 [0,0.248924)
 [0,0.248952)
 [0,0.248994)
 [0,0.249231)
 [0,0.249366)
 [0,0.249367)
 [0,0.24966)
 [0,0.249865)
 [0,0.249871)
 [0,0.250027)
 [0,0.250037)
 [0,0.250744)
 [0,0.251053)
 [0,0.251447)
 [0,0.251714)
 [0,0.252361)
 [0,0.252638)
 [0,0.253621)
 [0,0.254471)
 [0,0.254496)
 [0,0.254661)
 [0,0.254902)
 [0,0.254937)
 [0,0.255532)
 [0,0.255747)
 [0,0.256234)
 [0,0.256688)
 [0,0.256743)
 [0,0.256874)
 [0,0.256884)
 [0,0.257112)
 [0,0.257127)
 [0,0.257206)
 [0,0.257249)
 [0,0.257309)
 [0,0.257318)
 [0,0.257376)
 [0,0.257917)
 [0,0.258084)
 [0,0.258546)
 [0,0.258591)
 [0,0.25883)
 [0,0.259053)
 [0,0.259209)
 [0,0.259406)
 [0,0.259515)
 [0,0.259545)
 [0,0.259556)
 [0,0.25982)
 [0,0.260596)
 [0,0.260653)
 [0,0.260792)
 [0,0.261181)
 [0,0.261217)
 [0,0.261533)
 [0,0.261887)
 [0,0.262149)
 [0,0.262386)
 [0,0.26248)
 [0,0.262506)
 [0,0.262563)
 [0,0.26264)
 [0,0.263229)
 [0,0.263485)
 [0,0.263705)
 [0,0.263865)
 [0,0.264044)
 [0,0.264458)
 [0,0.2646)
 [0,0.264679)
 [0,0.264763)
 [0,0.264827)
 [0,0.264873)
 [0,0.264888)
 [0,0.265148)
 [0,0.265176)
 [0,0.26536)
 [0,0.265392)
 [0,0.265538)
 [0,0.265599)
 [0,0.265836)
 [0,0.265953)
 [0,0.266068)
 [0,0.26617)
 [0,0.2662)
 [0,0.266341)
 [0,0.266542)
 [0,0.266648)
 [0,0.26679)
 [0,0.266907)
 [0,0.267117)
 [0,0.267299)
 [0,0.267357)
 [0,0.267554)
 [0,0.267717)
 [0,0.267731)
 [0,0.26801)
 [0,0.268431)
 [0,0.268432)
 [0,0.268718)
 [0,0.26881)
 [0,0.268906)
 [0,0.269678)
 [0,0.269773)
 [0,0.26989)
 [0,0.270074)
 [0,0.270149)
 [0,0.270174)
 [0,0.270211)
 [0,0.270325)
 [0,0.27037)
 [0,0.270397)
 [0,0.270439)
 [0,0.270546)
 [0,0.270585)
 [0,0.270838)
 [0,0.270925)
 [0,0.271048)
 [0,0.271335)
 [0,0.271388)
 [0,0.271542)
 [0,0.271656)
 [0,0.271851)
 [0,0.271957)
 [0,0.272009)
 [0,0.272228)
 [0,0.27232)
 [0,0.272523)
 [0,0.272535)
 [0,0.272638)
 [0,0.272784)
 [0,0.272813)
 [0,0.27286)
 [0,0.272928)
 [0,0.272942)
 [0,0.273035)
 [0,0.273269)
 [0,0.273503)
 [0,0.273557)
 [0,0.273585)
 [0,0.273851)
 [0,0.273864)
 [0,0.273903)
 [0,0.274004)
 [0,0.274244)
 [0,0.274273)
 [0,0.274307)
 [0,0.274479)
 [0,0.274484)
 [0,0.274488)
 [0,0.274511)
 [0,0.27457)
 [0,0.274778)
 [0,0.274899)
 [0,0.275083)
 [0,0.275166)
 [0,0.275216)
 [0,0.275349)
 [0,0.275704)
 [0,0.275727)
 [0,0.275866)
 [0,0.275992)
 [0,0.276128)
 [0,0.276141)
 [0,0.276152)
 [0,0.276196)
 [0,0.276284)
 [0,0.276382)
 [0,0.276547)
 [0,0.276602)
 [0,0.276603)
 [0,0.276626)
 [0,0.27663)
 [0,0.276657)
 [0,0.276699)
 [0,0.276717)
 [0,0.276744)
 [0,0.276862)
 [0,0.276873)
 [0,0.276907)
 [0,0.276938)
 [0,0.277055)
 [0,0.277459)
 [0,0.277629)
 [0,0.277771)
 [0,0.277792)
 [0,0.277822)
 [0,0.277833)
 [0,0.278029)
 [0,0.278118)
 [0,0.278125)
 [0,0.278127)
 [0,0.278196)
 [0,0.278416)
 [0,0.278454)
 [0,0.278494)
 [0,0.278614)
 [0,0.279029)
 [0,0.279315)
 [0,0.279324)
 [0,0.279392)
 [0,0.279509)
 [0,0.279536)
 [0,0.279598)
 [0,0.279692)
 [0,0.279696)
 [0,0.279997)
 [0,0.279999)
 [0,0.280056)
 [0,0.280222)
 [0,0.280331)
 [0,0.280378)
 [0,0.280416)
 [0,0.2805)
 [0,0.280585)
 [0,0.281008)
 [0,0.281159)
 [0,0.281207)
 [0,0.281244)
 [0,0.281483)
 [0,0.281565)
 [0,0.281572)
 [0,0.281668)
 [0,0.281695)
 [0,0.281923)
 [0,0.282012)
 [0,0.282221)
 [0,0.282418)
 [0,0.282435)
 [0,0.282469)
 [0,0.282564)
 [0,0.282727)
 [0,0.282844)
 [0,0.283106)
 [0,0.283154)
 [0,0.283155)
 [0,0.283201)
 [0,0.283786)
 [0,0.283825)
 [0,0.283974)
 [0,0.284285)
 [0,0.284359)
 [0,0.284397)
 [0,0.284621)
 [0,0.2847)
 [0,0.284916)
 [0,0.284992)
 [0,0.285068)
 [0,0.285085)
 [0,0.285325)
 [0,0.285343)
 [0,0.28538)
 [0,0.285597)
 [0,0.285606)
 [0,0.285838)
 [0,0.28591)
 [0,0.285936)
 [0,0.28596)
 [0,0.286007)
 [0,0.286032)
 [0,0.286094)
 [0,0.286094)
 [0,0.286184)
 [0,0.286369)
 [0,0.286494)
 [0,0.286666)
 [0,0.286716)
 [0,0.286717)
 [0,0.286918)
 [0,0.286922)
 [0,0.286975)
 [0,0.287094)
 [0,0.287305)
 [0,0.287374)
 [0,0.287415)
 [0,0.28746)
 [0,0.287513)
 [0,0.287648)
 [0,0.287661)
 [0,0.287761)
 [0,0.287804)
 [0,0.287993)
 [0,0.288)
 [0,0.288308)
 [0,0.288366)
 [0,0.288437)
 [0,0.28848)
 [0,0.288573)
 [0,0.288573)
 [0,0.288731)
 [0,0.288742)
 [0,0.288822)
 [0,0.288947)
 [0,0.288994)
 [0,0.289039)
 [0,0.289056)
 [0,0.289329)
 [0,0.28938)
 [0,0.28957)
 [0,0.289645)
 [0,0.289664)
 [0,0.289876)
 [0,0.290119)
 [0,0.29021)
 [0,0.290218)
 [0,0.290418)
 [0,0.290482)
 [0,0.290523)
 [0,0.290535)
 [0,0.290597)
 [0,0.290665)
 [0,0.290734)
 [0,0.290845)
 [0,0.290998)
 [0,0.291044)
 [0,0.291064)
 [0,0.291115)
 [0,0.291209)
 [0,0.291234)
 [0,0.291242)
 [0,0.291319)
 [0,0.291348)
 [0,0.291649)
 [0,0.291662)
 [0,0.291736)
 [0,0.291892)
 [0,0.291951)
 [0,0.292002)
 [0,0.292057)
 [0,0.292108)
 [0,0.292196)
 [0,0.292373)
 [0,0.292483)
 [0,0.292514)
 [0,0.292544)
 [0,0.292598)
 [0,0.292599)
 [0,0.292618)
 [0,0.292701)
 [0,0.292708)
 [0,0.292821)
 [0,0.292828)
 [0,0.292835)
 [0,0.292841)
 [0,0.292879)
 [0,0.2931)
 [0,0.293173)
 [0,0.293385)
 [0,0.293551)
 [0,0.293604)
 [0,0.293725)
 [0,0.293743)
 [0,0.293754)
 [0,0.293805)
 [0,0.293973)
 [0,0.294029)
 [0,0.294061)
 [0,0.294095)
 [0,0.294139)
 [0,0.294175)
 [0,0.294198)
 [0,0.294235)
 [0,0.294413)
 [0,0.294699)
 [0,0.294736)
 [0,0.294826)
 [0,0.294829)
 [0,0.294851)
 [0,0.29487)
 [0,0.294873)
 [0,0.294974)
 [0,0.295049)
 [0,0.295184)
 [0,0.295203)
 [0,0.295215)
 [0,0.295218)
 [0,0.295323)
 [0,0.295463)
 [0,0.29573)
 [0,0.295781)
 [0,0.295885)
 [0,0.295908)
 [0,0.295939)
 [0,0.296018)
 [0,0.296087)
 [0,0.2961)
 [0,0.296116)
 [0,0.296178)
 [0,0.296351)
 [0,0.296367)
 [0,0.296426)
 [0,0.296428)
 [0,0.296616)
 [0,0.296682)
 [0,0.296691)
 [0,0.296766)
 [0,0.296834)
 [0,0.296859)
 [0,0.296864)
 [0,0.296912)
 [0,0.296934)
 [0,0.296959)
 [0,0.296989)
 [0,0.297016)
 [0,0.297079)
 [0,0.297079)
 [0,0.297125)
 [0,0.297237)
 [0,0.297257)
 [0,0.297261)
 [0,0.297288)
 [0,0.297321)
 [0,0.297322)
 [0,0.297441)
 [0,0.29751)
 [0,0.297625)
 [0,0.297642)
 [0,0.297714)
 [0,0.297762)
 [0,0.297817)
 [0,0.297858)
 [0,0.297877)
 [0,0.297932)
 [0,0.297948)
 [0,0.297979)
 [0,0.29799)
 [0,0.298046)
 [0,0.298056)
 [0,0.298094)
 [0,0.298188)
 [0,0.298227)
 [0,0.298273)
 [0,0.298405)
 [0,0.298432)
 [0,0.298529)
 [0,0.298639)
 [0,0.29868)
 [0,0.298745)
 [0,0.298945)
 [0,0.29897)
 [0,0.298971)
 [0,0.299009)
 [0,0.299191)
 [0,0.299232)
 [0,0.299321)
 [0,0.29935)
 [0,0.29942)
 [0,0.299491)
 [0,0.299568)
 [0,0.299612)
 [0,0.299617)
 [0,0.299662)
 [0,0.299704)
 [0,0.299815)
 [0,0.299873)
 [0,0.299994)
 [0,0.30012)
 [0,0.300202)
 [0,0.30022)
 [0,0.30022)
 [0,0.300235)
 [0,0.300349)
 [0,0.300449)
 [0,0.30057)
 [0,0.300596)
 [0,0.300708)
 [0,0.300787)
 [0,0.300874)
 [0,0.30122)
 [0,0.301361)
 [0,0.301372)
 [0,0.301399)
 [0,0.301454)
 [0,0.301548)
 [0,0.301555)
 [0,0.301586)
 [0,0.30162)
 [0,0.301635)
 [0,0.30166)
 [0,0.301716)
 [0,0.301785)
 [0,0.301793)
 [0,0.301913)
 [0,0.301926)
 [0,0.302022)
 [0,0.302153)
 [0,0.302208)
 [0,0.302229)
 [0,0.302246)
 [0,0.302519)
 [0,0.30262)
 [0,0.30263)
 [0,0.302636)
 [0,0.302738)
 [0,0.303112)
 [0,0.303282)
 [0,0.303303)
