point cloud with 12891 points in dimension 3
value range: [0.00565687,99.3849]
sparse distance matrix with 12891 points and 5533/83088940 entries
persistence intervals in dim 0:
 [0,0.00565687)
 [0,0.0063246)
 [0,0.00700021)
 [0,0.00707106)
 [0,0.00860235)
 [0,0.0101981)
 [0,0.0106302)
 [0,0.0174928)
 [0,0.018868)
 [0,0.019105)
 [0,0.0208087)
 [0,0.0212603)
 [0,0.0228034)
 [0,0.0272029)
 [0,0.0272947)
 [0,0.0383275)
 [0,0.0398498)
 [0,0.0402492)
 [0,0.041)
 [0,0.0430116)
 [0,0.0442717)
 [0,0.0453101)
 [0,0.0505668)
 [0,0.0531507)
 [0,0.0600167)
 [0,0.0629366)
 [0,0.0778265)
 [0,0.0941119)
 [0,0.0950213)
 [0,0.123329)
 [0,0.13438)
 [0,0.135326)
 [0,0.136235)
 [0,0.136367)
 [0,0.146014)
 [0,0.146492)
 [0,0.15092)
 [0,0.185852)
 [0,0.186497)
 [0,0.186561)
 [0,0.194536)
 [0,0.198116)
 [0,0.19992)
 [0,0.201229)
 [0,0.205429)
 [0,0.206932)
 [0,0.208634)
 [0,0.216012)
 [0,0.218634)
 [0,0.22265)
 [0,0.223403)
 [0,0.22902)
 [0,0.230671)
 [0,0.231767)
 [0,0.232573)
 [0,0.233694)
 [0,0.239082)
 [0,0.241174)
 [0,0.242002)
 [0,0.242062)
 [0,0.242887)
 [0,0.243705)
 [0,0.243953)
 [0,0.24566)
 [0,0.249467)
 [0,0.250012)
 [0,0.251454)
 [0,0.251676)
 [0,0.251835)
 [0,0.254126)
 [0,0.254772)
 [0,0.255765)
 [0,0.256603)
 [0,0.258428)
 [0,0.258631)
 [0,0.260112)
 [0,0.260123)
 [0,0.260256)
 [0,0.261031)
 [0,0.261069)
 [0,0.261696)
 [0,0.264169)
 [0,0.264764)
 [0,0.265452)
 [0,0.266625)
 [0,0.266738)
 [0,0.267591)
 [0,0.26766)
 [0,0.27044)
 [0,0.270542)
 [0,0.271901)
 [0,0.27195)
 [0,0.27239)
 [0,0.272809)
 [0,0.272963)
 [0,0.273748)
 [0,0.274053)
 [0,0.274089)
 [0,0.275182)
 [0,0.275812)
 [0,0.276029)
 [0,0.277)
 [0,0.277065)
 [0,0.277498)
 [0,0.280745)
 [0,0.282096)
 [0,0.28211)
 [0,0.282177)
 [0,0.282462)
 [0,0.282719)
 [0,0.285175)
 [0,0.285801)
 [0,0.285813)
 [0,0.28663)
 [0,0.286754)
 [0,0.286932)
 [0,0.287265)
 [0,0.287837)
 [0,0.288624)
 [0,0.289083)
 [0,0.28943)
 [0,0.289995)
 [0,0.290331)
 [0,0.290353)
 [0,0.290413)
 [0,0.290558)
 [0,0.290988)
 [0,0.292618)
 [0,0.29272)
 [0,0.292898)
 [0,0.293343)
 [0,0.293557)
 [0,0.29397)
 [0,0.294027)
 [0,0.294206)
 [0,0.295149)
 [0,0.29561)
 [0,0.295665)
 [0,0.29653)
 [0,0.296921)
 [0,0.297027)
 [0,0.297168)
 [0,0.298304)
 [0,0.298605)
 [0,0.299553)
 [0,0.301763)
 [0,0.302002)
 [0,0.302848)
 [0,0.303416)
 [0,0.303661)
 [0,0.304631)
 [0,0.305011)
 [0,0.305098)
 [0,0.305473)
 [0,0.305712)
 [0,0.306111)
 [0,0.30657)
 [0,0.306992)
 [0,0.307197)
 [0,0.307363)
 [0,0.307617)
 [0,0.309006)
 [0,0.309026)
 [0,0.309362)
 [0,0.30948)
 [0,0.309588)
 [0,0.310306)
 [0,0.310466)
 [0,0.311451)
 [0,0.31152)
 [0,0.311756)
 [0,0.311849)
 [0,0.312123)
 [0,0.312321)
 [0,0.312361)
 [0,0.313102)
 [0,0.314579)
 [0,0.314611)
 [0,0.314968)
 [0,0.316078)
 [0,0.316741)
 [0,0.316901)
 [0,0.31717)
 [0,0.317385)
 [0,0.317403)
 [0,0.317593)
 [0,0.317718)
 [0,0.317805)
 [0,0.318234)
 [0,0.318699)
 [0,0.319113)
 [0,0.319681)
 [0,0.319766)
 [0,0.320295)
 [0,0.320545)
 [0,0.320702)
 [0,0.320732)
 [0,0.3211)
 [0,0.321908)
 [0,0.322034)
 [0,0.322472)
 [0,0.323006)
 [0,0.323155)
 [0,0.323186)
 [0,0.323225)
 [0,0.324014)
 [0,0.324446)
 [0,0.324607)
 [0,0.324968)
 [0,0.325121)
 [0,0.32551)
 [0,0.325601)
 [0,0.325969)
 [0,0.325983)
 [0,0.326034)
 [0,0.326559)
 [0,0.326928)
 [0,0.327483)
 [0,0.327605)
 [0,0.327649)
 [0,0.327771)
 [0,0.328274)
 [0,0.328283)
 [0,0.328325)
 [0,0.328466)
 [0,0.32877)
 [0,0.328824)
 [0,0.329328)
 [0,0.33)
 [0,0.33082)
 [0,0.331074)
 [0,0.331157)
 [0,0.331183)
 [0,0.331386)
 [0,0.331545)
 [0,0.332054)
 [0,0.332181)
 [0,0.3322)
 [0,0.332291)
 [0,0.332776)
 [0,0.333017)
 [0,0.333156)
 [0,0.333204)
 [0,0.333209)
 [0,0.333479)
 [0,0.333539)
 [0,0.333542)
 [0,0.333642)
 [0,0.333862)
 [0,0.33388)
 [0,0.333937)
 [0,0.334337)
 [0,0.334522)
 [0,0.334731)
 [0,0.335261)
 [0,0.335292)
 [0,0.335704)
 [0,0.335726)
 [0,0.336109)
 [0,0.336174)
 [0,0.3364)
 [0,0.336883)
 [0,0.337036)
 [0,0.337083)
 [0,0.337165)
 [0,0.337165)
 [0,0.337343)
 [0,0.337654)
 [0,0.3377)
 [0,0.337722)
 [0,0.338293)
 [0,0.338551)
 [0,0.338824)
 [0,0.338941)
 [0,0.339838)
 [0,0.339943)
 [0,0.339991)
 [0,0.340074)
 [0,0.340834)
 [0,0.341282)
 [0,0.341397)
 [0,0.341883)
 [0,0.341915)
 [0,0.341977)
 [0,0.342053)
 [0,0.342077)
 [0,0.342286)
 [0,0.342422)
 [0,0.342527)
 [0,0.342707)
 [0,0.34271)
 [0,0.342794)
 [0,0.3436)
 [0,0.343628)
 [0,0.343759)
 [0,0.344571)
 [0,0.344611)
 [0,0.345141)
 [0,0.345209)
 [0,0.345377)
 [0,0.345419)
 [0,0.345858)
 [0,0.346092)
 [0,0.346157)
 [0,0.346325)
 [0,0.34636)
 [0,0.346978)
 [0,0.347225)
 [0,0.347324)
 [0,0.347497)
 [0,0.347908)
 [0,0.347908)
 [0,0.347942)
 [0,0.348013)
 [0,0.348037)
 [0,0.348053)
 [0,0.348381)
 [0,0.348511)
 [0,0.348736)
 [0,0.348776)
 [0,0.348967)
 [0,0.349178)
 [0,0.349242)
 [0,0.349515)
 [0,0.349597)
 [0,0.349666)
 [0,0.349777)
 [0,0.349967)
 [0,0.349986)
 [0,0.350069)
 [0,0.350411)
 [0,0.350488)
 [0,0.350629)
 [0,0.350751)
 [0,0.350907)
 [0,0.35107)
 [0,0.35116)
 [0,0.35137)
 [0,0.351438)
 [0,0.351733)
 [0,0.352018)
 [0,0.352091)
 [0,0.352115)
 [0,0.352389)
 [0,0.352483)
 [0,0.352507)
 [0,0.352695)
 [0,0.352847)
 [0,0.352853)
 [0,0.35287)
 [0,0.352899)
 [0,0.353)
 [0,0.353006)
 [0,0.353091)
 [0,0.35318)
 [0,0.353344)
 [0,0.353418)
 [0,0.353657)
 [0,0.353862)
 [0,0.353884)
 [0,0.354177)
 [0,0.35437)
 [0,0.354746)
 [0,0.354938)
 [0,0.355106)
 [0,0.355179)
 [0,0.355332)
 [0,0.355376)
 [0,0.355445)
 [0,0.355878)
 [0,0.356022)
 [0,0.356288)
 [0,0.356619)
 [0,0.3568)
 [0,0.357146)
 [0,0.357213)
 [0,0.357337)
 [0,0.35813)
 [0,0.358169)
 [0,0.358709)
 [0,0.358734)
 [0,0.358805)
 [0,0.3589)
 [0,0.358987)
 [0,0.359344)
 [0,0.359694)
 [0,0.360035)
 [0,0.360081)
 [0,0.360251)
 [0,0.360451)
 [0,0.360472)
 [0,0.360513)
 [0,0.360555)
 [0,0.360855)
 [0,0.361072)
 [0,0.361112)
 [0,0.361179)
 [0,0.3613)
 [0,0.361354)
 [0,0.361522)
 [0,0.361732)
 [0,0.362271)
 [0,0.362353)
 [0,0.362415)
 [0,0.362505)
 [0,0.362604)
 [0,0.362626)
 [0,0.362933)
 [0,0.363011)
 [0,0.363077)
 [0,0.363198)
 [0,0.363369)
 [0,0.363556)
 [0,0.36386)
 [0,0.363963)
 [0,0.364047)
 [0,0.364047)
 [0,0.364486)
 [0,0.364726)
 [0,0.364911)
 [0,0.365)
 [0,0.365012)
 [0,0.365087)
 [0,0.365301)
 [0,0.365396)
 [0,0.365571)
 [0,0.365591)
 [0,0.365952)
 [0,0.365978)
 [0,0.365997)
 [0,0.365997)
 [0,0.366012)
 [0,0.366777)
 [0,0.366838)
 [0,0.36686)
 [0,0.36686)
 [0,0.366995)
 [0,0.366995)
 [0,0.367049)
 [0,0.367327)
 [0,0.367789)
 [0,0.36787)
 [0,0.368077)
 [0,0.368196)
 [0,0.368409)
 [0,0.368458)
 [0,0.368461)
 [0,0.36847)
 [0,0.368481)
 [0,0.36855)
 [0,0.368637)
 [0,0.369005)
 [0,0.369012)
 [0,0.369096)
 [0,0.369103)
 [0,0.369157)
 [0,0.369178)
 [0,0.369882)
 [0,0.369926)
 [0,0.369969)
 [0,0.370001)
 [0,0.370277)
 [0,0.370326)
 [0,0.370354)
 [0,0.370995)
 [0,0.371048)
 [0,0.371228)
 [0,0.371576)
 [0,0.371619)
 [0,0.371652)
 [0,0.371747)
 [0,0.371856)
 [0,0.371964)
 [0,0.372082)
 [0,0.372485)
 [0,0.372592)
 [0,0.372937)
 [0,0.37298)
 [0,0.373066)
 [0,0.373118)
 [0,0.373122)
 [0,0.373563)
 [0,0.373805)
 [0,0.373973)
 [0,0.374021)
 [0,0.374092)
 [0,0.374386)
 [0,0.374477)
 [0,0.374721)
 [0,0.374724)
 [0,0.374817)
 [0,0.374856)
 [0,0.375033)
 [0,0.375033)
 [0,0.375151)
 [0,0.375341)
 [0,0.375481)
 [0,0.375587)
 [0,0.375588)
 [0,0.375597)
 [0,0.375766)
 [0,0.375959)
 [0,0.376176)
 [0,0.376205)
 [0,0.376368)
 [0,0.376439)
 [0,0.376527)
 [0,0.376703)
 [0,0.377133)
 [0,0.377228)
 [0,0.377482)
 [0,0.377605)
 [0,0.377637)
 [0,0.37769)
 [0,0.377764)
 [0,0.377816)
 [0,0.37789)
 [0,0.377922)
 [0,0.378033)
 [0,0.378085)
 [0,0.37836)
 [0,0.378381)
 [0,0.378402)
 [0,0.378502)
 [0,0.378513)
 [0,0.378535)
 [0,0.378572)
 [0,0.378583)
 [0,0.378906)
 [0,0.379065)
 [0,0.379179)
 [0,0.379381)
 [0,0.379389)
 [0,0.37939)
 [0,0.379476)
 [0,0.379487)
 [0,0.37968)
 [0,0.379685)
 [0,0.379971)
 [0,0.380296)
 [0,0.380423)
 [0,0.380533)
 [0,0.380718)
 [0,0.380728)
 [0,0.380738)
 [0,0.380789)
 [0,0.381159)
 [0,0.381163)
 [0,0.381285)
 [0,0.381483)
 [0,0.381505)
 [0,0.381524)
 [0,0.381694)
 [0,0.38179)
 [0,0.381849)
 [0,0.381921)
 [0,0.38198)
 [0,0.382126)
 [0,0.382154)
 [0,0.382341)
 [0,0.382404)
 [0,0.382498)
 [0,0.382688)
 [0,0.382753)
 [0,0.383021)
 [0,0.383047)
 [0,0.383221)
 [0,0.383275)
 [0,0.383294)
 [0,0.383391)
 [0,0.383595)
 [0,0.383725)
 [0,0.38376)
 [0,0.383802)
 [0,0.384012)
 [0,0.384173)
 [0,0.384187)
 [0,0.38422)
 [0,0.384366)
 [0,0.384532)
 [0,0.384606)
 [0,0.384783)
 [0,0.384796)
 [0,0.384912)
 [0,0.384922)
 [0,0.385053)
 [0,0.385253)
 [0,0.38541)
 [0,0.385507)
 [0,0.385716)
 [0,0.385721)
 [0,0.385747)
 [0,0.385815)
 [0,0.386182)
 [0,0.386219)
 [0,0.386245)
 [0,0.386359)
 [0,0.386374)
 [0,0.386747)
 [0,0.386999)
 [0,0.387012)
 [0,0.387114)
 [0,0.387156)
 [0,0.3872)
 [0,0.387621)
 [0,0.387621)
 [0,0.387625)
 [0,0.387744)
 [0,0.388125)
 [0,0.38829)
 [0,0.38833)
 [0,0.38833)
 [0,0.388444)
 [0,0.388496)
 [0,0.3886)
 [0,0.388645)
 [0,0.388734)
 [0,0.388785)
 [0,0.38882)
 [0,0.388902)
 [0,0.388973)
 [0,0.389035)
 [0,0.389217)
 [0,0.389217)
 [0,0.389236)
 [0,0.389237)
 [0,0.389283)
 [0,0.38937)
 [0,0.38955)
 [0,0.38976)
 [0,0.389803)
 [0,0.389955)
 [0,0.389974)
 [0,0.39015)
 [0,0.390151)
 [0,0.390288)
 [0,0.390333)
 [0,0.390356)
 [0,0.390483)
 [0,0.390541)
 [0,0.390881)
 [0,0.390969)
 [0,0.390978)
 [0,0.391012)
 [0,0.391061)
 [0,0.391082)
 [0,0.391152)
 [0,0.391153)
 [0,0.391216)
 [0,0.39123)
 [0,0.39129)
 [0,0.391429)
 [0,0.391618)
 [0,0.392084)
 [0,0.392149)
 [0,0.392154)
 [0,0.3922)
 [0,0.392227)
 [0,0.392659)
 [0,0.392734)
 [0,0.392759)
 [0,0.393005)
 [0,0.393183)
 [0,0.393183)
 [0,0.3933)
 [0,0.39332)
 [0,0.393498)
 [0,0.3936)
 [0,0.393652)
 [0,0.393742)
 [0,0.394011)
 [0,0.394011)
 [0,0.394046)
 [0,0.394077)
 [0,0.394088)
 [0,0.394119)
 [0,0.394184)
 [0,0.394343)
 [0,0.39437)
 [0,0.394868)
 [0,0.395062)
 [0,0.395487)
 [0,0.395607)
 [0,0.395809)
 [0,0.395904)
 [0,0.396146)
 [0,0.396334)
 [0,0.396376)
 [0,0.396548)
 [0,0.396551)
 [0,0.396627)
 [0,0.396676)
 [0,0.396688)
 [0,0.39697)
 [0,0.397042)
 [0,0.397045)
 [0,0.397092)
 [0,0.397175)
 [0,0.397212)
 [0,0.397213)
 [0,0.397352)
 [0,0.397413)
 [0,0.397555)
 [0,0.397756)
 [0,0.397764)
 [0,0.397775)
 [0,0.397986)
 [0,0.398026)
 [0,0.398177)
 [0,0.398181)
 [0,0.398529)
 [0,0.398664)
 [0,0.398664)
 [0,0.398724)
 [0,0.398741)
 [0,0.398779)
 [0,0.398811)
 [0,0.398984)
 [0,0.399011)
 [0,0.399011)
 [0,0.399271)
 [0,0.399282)
 [0,0.399326)
 [0,0.399382)
 [0,0.399406)
 [0,0.399431)
 [0,0.399963)
 [0,0.400031)
 [0,0.400312)
 [0,0.400522)
 [0,0.400566)
 [0,0.400642)
 [0,0.400671)
 [0,0.400981)
 [0,0.401001)
 [0,0.401005)
 [0,0.40107)
 [0,0.401123)
 [0,0.401151)
 [0,0.401319)
 [0,0.40136)
 [0,0.401368)
 [0,0.40145)
 [0,0.401542)
 [0,0.401637)
 [0,0.401807)
 [0,0.401877)
 [0,0.401886)
 [0,0.402061)
 [0,0.402087)
 [0,0.402244)
 [0,0.402394)
 [0,0.402568)
 [0,0.402747)
 [0,0.402773)
 [0,0.40299)
 [0,0.403011)
 [0,0.403091)
 [0,0.403093)
 [0,0.403194)
 [0,0.40321)
 [0,0.403252)
 [0,0.403291)
 [0,0.403391)
 [0,0.403391)
 [0,0.403448)
 [0,0.403491)
 [0,0.403524)
 [0,0.403584)
 [0,0.403633)
 [0,0.403685)
 [0,0.403685)
 [0,0.403803)
 [0,0.403833)
 [0,0.403834)
 [0,0.403923)
 [0,0.404061)
 [0,0.404072)
 [0,0.40426)
 [0,0.404282)
 [0,0.404328)
 [0,0.404378)
 [0,0.404442)
 [0,0.404527)
 [0,0.404695)
 [0,0.404764)
 [0,0.404922)
 [0,0.404931)
 [0,0.405)
 [0,0.40502)
 [0,0.4051)
 [0,0.405123)
 [0,0.405262)
 [0,0.405311)
 [0,0.405632)
 [0,0.405704)
 [0,0.405771)
 [0,0.405961)
 [0,0.406001)
 [0,0.406037)
 [0,0.406037)
 [0,0.406149)
 [0,0.406174)
 [0,0.406185)
 [0,0.406355)
 [0,0.4064)
 [0,0.406444)
 [0,0.406553)
 [0,0.406602)
 [0,0.406846)
 [0,0.406864)
 [0,0.406952)
 [0,0.40697)
 [0,0.407005)
 [0,0.407172)
 [0,0.407182)
 [0,0.407241)
 [0,0.407303)
 [0,0.407314)
 [0,0.407416)
 [0,0.407442)
 [0,0.407647)
 [0,0.407649)
 [0,0.407659)
 [0,0.407711)
 [0,0.407775)
 [0,0.407983)
 [0,0.408001)
 [0,0.4081)
 [0,0.408104)
 [0,0.40824)
 [0,0.408274)
 [0,0.408377)
 [0,0.408486)
 [0,0.408633)
 [0,0.409121)
 [0,0.409298)
 [0,0.409316)
 [0,0.409332)
 [0,0.409782)
 [0,0.409816)
 [0,0.409832)
 [0,0.40989)
 [0,0.409927)
 [0,0.41006)
 [0,0.410148)
 [0,0.410157)
 [0,0.410183)
 [0,0.410278)
 [0,0.410329)
 [0,0.410502)
 [0,0.41059)
 [0,0.410641)
 [0,0.410707)
 [0,0.410845)
 [0,0.410932)
 [0,0.410955)
 [0,0.411096)
 [0,0.411096)
 [0,0.411126)
 [0,0.411175)
 [0,0.411274)
 [0,0.411311)
 [0,0.411359)
 [0,0.411428)
 [0,0.411461)
 [0,0.411491)
 [0,0.411491)
 [0,0.411534)
 [0,0.411539)
 [0,0.411545)
 [0,0.411575)
 [0,0.411602)
 [0,0.411655)
 [0,0.411681)
 [0,0.4117)
 [0,0.41183)
 [0,0.411865)
 [0,0.411886)
 [0,0.411938)
 [0,0.411993)
 [0,0.412216)
 [0,0.412238)
 [0,0.412238)
 [0,0.412249)
 [0,0.412255)
 [0,0.41234)
 [0,0.412393)
 [0,0.412511)
 [0,0.41268)
 [0,0.412801)
 [0,0.412826)
 [0,0.412826)
 [0,0.412844)
 [0,0.412972)
 [0,0.412989)
 [0,0.413001)
 [0,0.413078)
 [0,0.413087)
 [0,0.413146)
 [0,0.413241)
 [0,0.413321)
 [0,0.413321)
 [0,0.413484)
 [0,0.413585)
 [0,0.413673)
 [0,0.413717)
 [0,0.413766)
 [0,0.413807)
 [0,0.413969)
 [0,0.414093)
 [0,0.414133)
 [0,0.414238)
 [0,0.414238)
 [0,0.414576)
 [0,0.414609)
 [0,0.414676)
 [0,0.415)
 [0,0.415018)
 [0,0.415098)
 [0,0.415146)
 [0,0.415217)
 [0,0.415226)
 [0,0.415235)
 [0,0.415242)
 [0,0.415242)
