point cloud with 4112 points in dimension 3
value range: [0.196825,78.7905]
sparse distance matrix with 4112 points and 298/8454271 entries
persistence intervals in dim 0:
 [0,0.196825)
 [0,0.24052)
 [0,0.307508)
 [0,0.323348)
 [0,0.335121)
 [0,0.341177)
 [0,0.341791)
 [0,0.349693)
 [0,0.353952)
 [0,0.362802)
 [0,0.363138)
 [0,0.364027)
 [0,0.371214)
 [0,0.378566)
 [0,0.378621)
 [0,0.37949)
 [0,0.38297)
 [0,0.385406)
 [0,0.387253)
 [0,0.387372)
 [0,0.395181)
 [0,0.396376)
 [0,0.400005)
 [0,0.400356)
 [0,0.405216)
 [0,0.407339)
 [0,0.409766)
 [0,0.411558)
 [0,0.411874)
 [0,0.414421)
 [0,0.414596)
 [0,0.41653)
 [0,0.416635)
 [0,0.421883)
 [0,0.423427)
 [0,0.425319)
 [0,0.425973)
 [0,0.426555)
 [0,0.430119)
 [0,0.432334)
 [0,0.432348)
 [0,0.432863)
 [0,0.436327)
 [0,0.436909)
 [0,0.438152)
 [0,0.438493)
 [0,0.438882)
 [0,0.441128)
 [0,0.441227)
 [0,0.441974)
 [0,0.443636)
 [0,0.443952)
 [0,0.44446)
 [0,0.445789)
 [0,0.445982)
 [0,0.446163)
 [0,0.446602)
 [0,0.447556)
 [0,0.447636)
 [0,0.448698)
 [0,0.448736)
 [0,0.449307)
 [0,0.451359)
 [0,0.451787)
 [0,0.453072)
 [0,0.454318)
 [0,0.456426)
 [0,0.459279)
 [0,0.459306)
 [0,0.459365)
 [0,0.460362)
 [0,0.463191)
 [0,0.466602)
 [0,0.46669)
 [0,0.466759)
 [0,0.469064)
 [0,0.470771)
 [0,0.472827)
 [0,0.473402)
 [0,0.474031)
 [0,0.474537)
 [0,0.476877)
 [0,0.477448)
 [0,0.478174)
 [0,0.478516)
 [0,0.478602)
 [0,0.480692)
 [0,0.4821)
 [0,0.482266)
 [0,0.482552)
 [0,0.483567)
 [0,0.483939)
 [0,0.484267)
 [0,0.484421)
 [0,0.486203)
 [0,0.4871)
 [0,0.487165)
 [0,0.487849)
 [0,0.489048)
 [0,0.489483)
 [0,0.489908)
 [0,0.49437)
 [0,0.495331)
 [0,0.496405)
 [0,0.499449)
 [0,0.50013)
 [0,0.500353)
 [0,0.500434)
 [0,0.500959)
 [0,0.501251)
 [0,0.502547)
 [0,0.503397)
 [0,0.503421)
 [0,0.506281)
 [0,0.50632)
 [0,0.506495)
 [0,0.506622)
 [0,0.50741)
 [0,0.507592)
 [0,0.507772)
 [0,0.507963)
 [0,0.509338)
 [0,0.510131)
 [0,0.510617)
 [0,0.511016)
 [0,0.511348)
 [0,0.51277)
 [0,0.513008)
 [0,0.513622)
 [0,0.514125)
 [0,0.514198)
 [0,0.514278)
 [0,0.514421)
 [0,0.515699)
 [0,0.516188)
 [0,0.516763)
 [0,0.517349)
 [0,0.518869)
 [0,0.519047)
 [0,0.519948)
 [0,0.520162)
 [0,0.521231)
 [0,0.5214)
 [0,0.52151)
 [0,0.521553)
 [0,0.522269)
 [0,0.522532)
 [0,0.524767)
 [0,0.524768)
 [0,0.525019)
 [0,0.526277)
 [0,0.52646)
 [0,0.527717)
 [0,0.52807)
 [0,0.529279)
 [0,0.529419)
 [0,0.529545)
 [0,0.529559)
 [0,0.530192)
 [0,0.530205)
 [0,0.531279)
 [0,0.531852)
 [0,0.532358)
 [0,0.532538)
 [0,0.532587)
 [0,0.532806)
 [0,0.53324)
 [0,0.533844)
 [0,0.534237)
 [0,0.534692)
 [0,0.535531)
 [0,0.536004)
 [0,0.536008)
 [0,0.537492)
 [0,0.538177)
 [0,0.538897)
 [0,0.539059)
 [0,0.541059)
 [0,0.541407)
 [0,0.542623)
 [0,0.543129)
 [0,0.543258)
 [0,0.543722)
 [0,0.543743)
 [0,0.545033)
 [0,0.545047)
 [0,0.546971)
 [0,0.547878)
 [0,0.547989)
 [0,0.548205)
 [0,0.548208)
 [0,0.549281)
 [0,0.549805)
 [0,0.550146)
 [0,0.550245)
 [0,0.550654)
 [0,0.551335)
 [0,0.551725)
 [0,0.553261)
 [0,0.553343)
 [0,0.553596)
 [0,0.556173)
 [0,0.557137)
 [0,0.557703)
 [0,0.558323)
 [0,0.558364)
 [0,0.558477)
 [0,0.559751)
 [0,0.560118)
 [0,0.561008)
 [0,0.56141)
 [0,0.561709)
 [0,0.561749)
 [0,0.562825)
 [0,0.564883)
 [0,0.565673)
 [0,0.565906)
 [0,0.566099)
 [0,0.566138)
 [0,0.567107)
 [0,0.568014)
 [0,0.568409)
 [0,0.56953)
 [0,0.569645)
 [0,0.570601)
 [0,0.570713)
 [0,0.570846)
 [0,0.57115)
 [0,0.571172)
 [0,0.571484)
 [0,0.572116)
 [0,0.573018)
 [0,0.573168)
 [0,0.573601)
 [0,0.573976)
 [0,0.57404)
 [0,0.574312)
 [0,0.574489)
 [0,0.574512)
 [0,0.574739)
 [0,0.576077)
 [0,0.576633)
 [0,0.577084)
 [0,0.577292)
 [0,0.577382)
 [0,0.578337)
 [0,0.578623)
 [0,0.5792)
 [0,0.579418)
 [0,0.579705)
 [0,0.580574)
 [0,0.581031)
 [0,0.581107)
 [0,0.58121)
 [0,0.581588)
 [0,0.581846)
 [0,0.58228)
 [0,0.583123)
 [0,0.583205)
 [0,0.583584)
 [0,0.584276)
 [0,0.584426)
 [0,0.58444)
 [0,0.5845)
 [0,0.584907)
 [0,0.585676)
 [0,0.586079)
 [0,0.586939)
 [0,0.588014)
 [0,0.588626)
 [0,0.588804)
 [0,0.588908)
 [0,0.58943)
 [0,0.589461)
 [0,0.590397)
 [0,0.590976)
 [0,0.591143)
 [0,0.591219)
 [0,0.591805)
 [0,0.591981)
 [0,0.592686)
 [0,0.593001)
 [0,0.593062)
 [0,0.593607)
 [0,0.593913)
 [0,0.594041)
 [0,0.594358)
 [0,0.595449)
 [0,0.596003)
 [0,0.596242)
 [0,0.59638)
 [0,0.596403)
 [0,0.597068)
 [0,0.598412)
 [0,0.59927)
 [0,0.599437)
 [0,0.599628)
 [0,0.599651)
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
 [0, )
