point cloud with 54955 points in dimension 3
value range: [0.115812,205.041]
distance matrix with 54955 points, using threshold at enclosing radius 102.524
persistence intervals in dim 0:
 [0,0.115812)
 [0,0.117094)
 [0,0.117192)
 [0,0.127348)
 [0,0.130821)
 [0,0.1378)
 [0,0.141417)
 [0,0.145047)
 [0,0.150525)
 [0,0.151082)
 [0,0.152376)
 [0,0.155581)
 [0,0.156659)
 [0,0.156883)
 [0,0.159703)
 [0,0.163788)
 [0,0.166166)
 [0,0.171076)
 [0,0.172252)
 [0,0.172661)
 [0,0.172795)
 [0,0.175677)
 [0,0.17671)
 [0,0.178422)
 [0,0.178611)
 [0,0.179238)
 [0,0.179546)
 [0,0.181357)
 [0,0.188035)
 [0,0.188625)
 [0,0.1908)
 [0,0.190803)
 [0,0.190916)
 [0,0.192627)
 [0,0.193091)
 [0,0.194103)
 [0,0.19477)
 [0,0.194815)
 [0,0.195554)
 [0,0.196126)
 [0,0.19661)
 [0,0.196763)
 [0,0.197433)
 [0,0.197463)
 [0,0.198363)
 [0,0.198602)
 [0,0.198689)
 [0,0.199219)
 [0,0.199655)
 [0,0.201315)
 [0,0.201398)
 [0,0.201527)
 [0,0.202193)
 [0,0.202297)
 [0,0.202314)
 [0,0.202964)
 [0,0.203438)
 [0,0.203827)
 [0,0.204034)
 [0,0.204377)
 [0,0.205208)
 [0,0.205331)
 [0,0.205988)
 [0,0.206469)
 [0,0.206488)
 [0,0.206771)
 [0,0.207596)
 [0,0.207729)
 [0,0.208237)
 [0,0.208618)
 [0,0.208751)
 [0,0.208799)
 [0,0.20896)
 [0,0.209201)
 [0,0.209826)
 [0,0.210183)
 [0,0.210736)
 [0,0.210895)
 [0,0.211856)
 [0,0.211908)
 [0,0.211953)
 [0,0.212506)
 [0,0.213196)
 [0,0.213248)
 [0,0.213254)
 [0,0.213336)
 [0,0.213436)
 [0,0.21352)
 [0,0.213633)
 [0,0.213782)
 [0,0.214467)
 [0,0.214566)
 [0,0.214796)
 [0,0.214846)
 [0,0.214981)
 [0,0.21504)
 [0,0.215105)
 [0,0.215434)
 [0,0.215487)
 [0,0.215504)
 [0,0.215808)
 [0,0.215853)
 [0,0.216441)
 [0,0.216704)
 [0,0.2171)
 [0,0.217205)
 [0,0.217908)
 [0,0.218545)
 [0,0.218707)
 [0,0.218959)
 [0,0.219503)
 [0,0.2198)
 [0,0.220041)
 [0,0.220057)
 [0,0.220369)
 [0,0.220835)
 [0,0.221161)
 [0,0.221278)
 [0,0.221403)
 [0,0.221752)
 [0,0.221815)
 [0,0.221836)
 [0,0.222462)
 [0,0.222577)
 [0,0.222689)
 [0,0.223211)
 [0,0.223389)
 [0,0.223557)
 [0,0.2239)
 [0,0.224049)
 [0,0.224126)
 [0,0.224672)
 [0,0.22468)
 [0,0.224925)
 [0,0.224995)
 [0,0.225008)
 [0,0.225281)
 [0,0.225328)
 [0,0.22568)
 [0,0.225685)
 [0,0.225718)
 [0,0.225737)
 [0,0.225745)
 [0,0.225828)
 [0,0.226018)
 [0,0.22607)
 [0,0.226135)
 [0,0.226144)
 [0,0.22617)
 [0,0.226431)
 [0,0.226837)
 [0,0.227297)
 [0,0.227567)
 [0,0.22767)
 [0,0.227776)
 [0,0.227825)
 [0,0.228098)
 [0,0.228428)
 [0,0.228461)
 [0,0.228608)
 [0,0.228792)
 [0,0.228872)
 [0,0.228883)
 [0,0.229076)
 [0,0.229157)
 [0,0.229503)
 [0,0.229723)
 [0,0.229929)
 [0,0.230102)
 [0,0.23024)
 [0,0.230586)
 [0,0.230688)
 [0,0.231554)
 [0,0.23164)
 [0,0.23187)
 [0,0.232095)
 [0,0.232127)
 [0,0.232205)
 [0,0.232809)
 [0,0.233395)
 [0,0.233672)
 [0,0.233849)
 [0,0.234079)
 [0,0.234313)
 [0,0.234471)
 [0,0.234556)
 [0,0.23467)
 [0,0.235017)
 [0,0.235358)
 [0,0.235376)
 [0,0.235386)
 [0,0.235573)
 [0,0.235636)
 [0,0.235919)
 [0,0.235924)
 [0,0.23597)
 [0,0.236165)
 [0,0.236277)
 [0,0.23635)
 [0,0.23677)
 [0,0.237114)
 [0,0.23721)
 [0,0.237286)
 [0,0.237653)
 [0,0.237663)
 [0,0.237809)
 [0,0.237955)
 [0,0.238236)
 [0,0.238313)
 [0,0.238659)
 [0,0.238788)
 [0,0.238825)
 [0,0.238887)
 [0,0.238922)
 [0,0.239158)
 [0,0.239184)
 [0,0.239228)
 [0,0.239531)
 [0,0.239597)
 [0,0.239663)
 [0,0.239686)
 [0,0.239784)
 [0,0.240023)
 [0,0.240085)
 [0,0.240246)
 [0,0.240326)
 [0,0.240337)
 [0,0.240393)
 [0,0.24104)
 [0,0.241129)
 [0,0.241187)
 [0,0.241194)
 [0,0.241205)
 [0,0.241355)
 [0,0.241642)
 [0,0.241651)
