point cloud with 51452 points in dimension 3
value range: [0.0769026,166.279]
sparse distance matrix with 51452 points and 82257/1323654151 entries
persistence intervals in dim 0:
 [0,0.0769026)
 [0,0.0778332)
 [0,0.0820244)
 [0,0.0881022)
 [0,0.101519)
 [0,0.105948)
 [0,0.110752)
 [0,0.126574)
 [0,0.127059)
 [0,0.134629)
 [0,0.135059)
 [0,0.13618)
 [0,0.138398)
 [0,0.138752)
 [0,0.138925)
 [0,0.142902)
 [0,0.143545)
 [0,0.14384)
 [0,0.144402)
 [0,0.146492)
 [0,0.146986)
 [0,0.146986)
 [0,0.147706)
 [0,0.147899)
 [0,0.148432)
 [0,0.150987)
 [0,0.15142)
 [0,0.154315)
 [0,0.155003)
 [0,0.155872)
 [0,0.155914)
 [0,0.15911)
 [0,0.159816)
 [0,0.161892)
 [0,0.16229)
 [0,0.162595)
 [0,0.162788)
 [0,0.162874)
 [0,0.1636)
 [0,0.163918)
 [0,0.164015)
 [0,0.164757)
 [0,0.164879)
 [0,0.164906)
 [0,0.165027)
 [0,0.165387)
 [0,0.166364)
 [0,0.166859)
 [0,0.166976)
 [0,0.167048)
 [0,0.167084)
 [0,0.167299)
 [0,0.167502)
 [0,0.168048)
 [0,0.168217)
 [0,0.168656)
 [0,0.168808)
 [0,0.169047)
 [0,0.169071)
 [0,0.1698)
 [0,0.17)
 [0,0.170074)
 [0,0.170699)
 [0,0.171143)
 [0,0.171353)
 [0,0.171406)
 [0,0.171432)
 [0,0.171642)
 [0,0.1722)
 [0,0.172818)
 [0,0.172939)
 [0,0.173234)
 [0,0.173459)
 [0,0.173922)
 [0,0.174)
 [0,0.174026)
 [0,0.174103)
 [0,0.174264)
 [0,0.174347)
 [0,0.174917)
 [0,0.175111)
 [0,0.175183)
 [0,0.175283)
 [0,0.175328)
 [0,0.175847)
 [0,0.176045)
 [0,0.176298)
 [0,0.17657)
 [0,0.176774)
 [0,0.176819)
 [0,0.176828)
 [0,0.176867)
 [0,0.178135)
 [0,0.17818)
 [0,0.178227)
 [0,0.178239)
 [0,0.178239)
 [0,0.178241)
 [0,0.178572)
 [0,0.178807)
 [0,0.178933)
 [0,0.179134)
 [0,0.179212)
 [0,0.179747)
 [0,0.180247)
 [0,0.180427)
 [0,0.181025)
 [0,0.181532)
 [0,0.182003)
 [0,0.182157)
 [0,0.182609)
 [0,0.182718)
 [0,0.1828)
 [0,0.183183)
 [0,0.18333)
 [0,0.1836)
 [0,0.184201)
 [0,0.184619)
 [0,0.184938)
 [0,0.184981)
 [0,0.185065)
 [0,0.185284)
 [0,0.185559)
 [0,0.186024)
 [0,0.186724)
 [0,0.186904)
 [0,0.187256)
 [0,0.187323)
 [0,0.187768)
 [0,0.188042)
 [0,0.188045)
 [0,0.188521)
 [0,0.188534)
 [0,0.188788)
 [0,0.189082)
 [0,0.189114)
 [0,0.189362)
 [0,0.189447)
 [0,0.190213)
 [0,0.190287)
 [0,0.190318)
 [0,0.190518)
 [0,0.19052)
 [0,0.190673)
 [0,0.190851)
 [0,0.190906)
 [0,0.191042)
 [0,0.19105)
 [0,0.191175)
 [0,0.191377)
 [0,0.191638)
 [0,0.191802)
 [0,0.191802)
 [0,0.19188)
 [0,0.191982)
 [0,0.192234)
 [0,0.192567)
 [0,0.192665)
 [0,0.192842)
 [0,0.193018)
 [0,0.193342)
 [0,0.193383)
 [0,0.193424)
 [0,0.193693)
 [0,0.193745)
 [0,0.193786)
 [0,0.193794)
 [0,0.19383)
 [0,0.193982)
 [0,0.194486)
 [0,0.194589)
 [0,0.194618)
 [0,0.195021)
 [0,0.195064)
 [0,0.195064)
 [0,0.195113)
 [0,0.195346)
 [0,0.19551)
 [0,0.195781)
 [0,0.195788)
 [0,0.195829)
 [0,0.195931)
 [0,0.196115)
 [0,0.196163)
 [0,0.196329)
 [0,0.196543)
 [0,0.196865)
 [0,0.196987)
 [0,0.197)
 [0,0.197122)
 [0,0.197385)
 [0,0.197385)
 [0,0.197428)
 [0,0.19774)
 [0,0.19796)
 [0,0.19801)
 [0,0.198134)
 [0,0.198225)
 [0,0.198313)
 [0,0.198338)
 [0,0.198436)
 [0,0.198565)
 [0,0.1986)
 [0,0.198862)
 [0,0.199)
 [0,0.199023)
 [0,0.199111)
 [0,0.199324)
 [0,0.199324)
 [0,0.199459)
 [0,0.199482)
 [0,0.199725)
 [0,0.199965)
 [0,0.200145)
 [0,0.200352)
 [0,0.200691)
 [0,0.20104)
 [0,0.201201)
 [0,0.201527)
 [0,0.201556)
 [0,0.201695)
 [0,0.201792)
 [0,0.201814)
 [0,0.202)
 [0,0.202121)
 [0,0.202588)
 [0,0.202766)
 [0,0.202852)
 [0,0.202892)
 [0,0.203)
 [0,0.203298)
 [0,0.20363)
 [0,0.203652)
 [0,0.203691)
 [0,0.203961)
 [0,0.203961)
 [0,0.204215)
 [0,0.204353)
 [0,0.204377)
 [0,0.204377)
 [0,0.204414)
 [0,0.204463)
 [0,0.204475)
 [0,0.204707)
 [0,0.204846)
 [0,0.205022)
 [0,0.205039)
 [0,0.205039)
 [0,0.205078)
 [0,0.205602)
 [0,0.205767)
 [0,0.205767)
 [0,0.205769)
 [0,0.205876)
 [0,0.205913)
 [0,0.205913)
 [0,0.206002)
 [0,0.206155)
 [0,0.206206)
 [0,0.206526)
 [0,0.206613)
 [0,0.206635)
 [0,0.206816)
 [0,0.206874)
 [0,0.20693)
 [0,0.207068)
 [0,0.207099)
 [0,0.207184)
 [0,0.2072)
 [0,0.207408)
 [0,0.207511)
 [0,0.207512)
 [0,0.207762)
 [0,0.207762)
 [0,0.207762)
 [0,0.207762)
 [0,0.208031)
 [0,0.208063)
 [0,0.208086)
 [0,0.208291)
 [0,0.208312)
 [0,0.208406)
 [0,0.208626)
 [0,0.208943)
 [0,0.209029)
 [0,0.209246)
 [0,0.209251)
 [0,0.209353)
 [0,0.209411)
 [0,0.210021)
 [0,0.210038)
 [0,0.21006)
 [0,0.210231)
 [0,0.210355)
 [0,0.21049)
 [0,0.210618)
 [0,0.210753)
 [0,0.21076)
 [0,0.210761)
 [0,0.210791)
 [0,0.211123)
 [0,0.211152)
 [0,0.211249)
 [0,0.211367)
 [0,0.211804)
 [0,0.212002)
 [0,0.21205)
 [0,0.212059)
 [0,0.212059)
 [0,0.212085)
 [0,0.212144)
 [0,0.2122)
 [0,0.212276)
 [0,0.212285)
 [0,0.212361)
 [0,0.212438)
 [0,0.212462)
 [0,0.212763)
 [0,0.21284)
 [0,0.213101)
 [0,0.213242)
 [0,0.213338)
 [0,0.213516)
 [0,0.213551)
 [0,0.213663)
 [0,0.213769)
 [0,0.213825)
 [0,0.214112)
 [0,0.214182)
 [0,0.214189)
 [0,0.214282)
 [0,0.214374)
 [0,0.214402)
 [0,0.214411)
 [0,0.214553)
 [0,0.214581)
 [0,0.214674)
 [0,0.214683)
 [0,0.214721)
 [0,0.21487)
 [0,0.214953)
 [0,0.214979)
 [0,0.214981)
 [0,0.215077)
 [0,0.215102)
 [0,0.215295)
