point cloud with 15151 points in dimension 3
value range: [0.128969,209.16]
sparse distance matrix with 15151 points and 10083/114776400 entries
persistence intervals in dim 0:
 [0,0.128969)
 [0,0.14734)
 [0,0.156975)
 [0,0.168077)
 [0,0.169673)
 [0,0.170262)
 [0,0.172818)
 [0,0.173219)
 [0,0.173649)
 [0,0.177598)
 [0,0.178676)
 [0,0.181334)
 [0,0.188215)
 [0,0.189889)
 [0,0.190042)
 [0,0.195059)
 [0,0.199812)
 [0,0.203436)
 [0,0.205273)
 [0,0.206167)
 [0,0.20701)
 [0,0.207625)
 [0,0.208195)
 [0,0.210618)
 [0,0.21225)
 [0,0.214009)
 [0,0.215244)
 [0,0.215407)
 [0,0.215411)
 [0,0.218277)
 [0,0.221)
 [0,0.221651)
 [0,0.224361)
 [0,0.224891)
 [0,0.225198)
 [0,0.22715)
 [0,0.227372)
 [0,0.227548)
 [0,0.229996)
 [0,0.2314)
 [0,0.232142)
 [0,0.232499)
 [0,0.23282)
 [0,0.233212)
 [0,0.233692)
 [0,0.234753)
 [0,0.235987)
 [0,0.236191)
 [0,0.236597)
 [0,0.236698)
 [0,0.237474)
 [0,0.238908)
 [0,0.239052)
 [0,0.240008)
 [0,0.24026)
 [0,0.241058)
 [0,0.241878)
 [0,0.242132)
 [0,0.242563)
 [0,0.243296)
 [0,0.24383)
 [0,0.245465)
 [0,0.246089)
 [0,0.246089)
 [0,0.246862)
 [0,0.247099)
 [0,0.247923)
 [0,0.249231)
 [0,0.249778)
 [0,0.249884)
 [0,0.250018)
 [0,0.25173)
 [0,0.252715)
 [0,0.253665)
 [0,0.254578)
 [0,0.255)
 [0,0.255409)
 [0,0.255486)
 [0,0.257597)
 [0,0.258652)
 [0,0.258861)
 [0,0.259131)
 [0,0.259278)
 [0,0.259509)
 [0,0.259615)
 [0,0.2614)
 [0,0.261444)
 [0,0.261681)
 [0,0.261748)
 [0,0.261979)
 [0,0.264008)
 [0,0.264121)
 [0,0.265345)
 [0,0.265409)
 [0,0.265631)
 [0,0.265876)
 [0,0.266055)
 [0,0.26607)
 [0,0.266507)
 [0,0.267464)
 [0,0.268287)
 [0,0.268403)
 [0,0.26868)
 [0,0.26876)
 [0,0.268822)
 [0,0.269046)
 [0,0.269904)
 [0,0.270024)
 [0,0.270148)
 [0,0.270573)
 [0,0.270897)
 [0,0.271017)
 [0,0.271149)
 [0,0.271562)
 [0,0.271627)
 [0,0.271901)
 [0,0.272523)
 [0,0.272641)
 [0,0.272883)
