point cloud with 35792 points in dimension 3
value range: [0.00632462,177.141]
sparse distance matrix with 35792 points and 46660/640533631 entries
persistence intervals in dim 0:
 [0,0.00632462)
 [0,0.00854402)
 [0,0.00948684)
 [0,0.0172046)
 [0,0.0172629)
 [0,0.0192094)
 [0,0.0269259)
 [0,0.0300833)
 [0,0.0310162)
 [0,0.0313847)
 [0,0.0330152)
 [0,0.033541)
 [0,0.0336155)
 [0,0.0345399)
 [0,0.0356932)
 [0,0.0366743)
 [0,0.037)
 [0,0.0376431)
 [0,0.0388973)
 [0,0.0391152)
 [0,0.0392937)
 [0,0.0392937)
 [0,0.0407921)
 [0,0.0414849)
 [0,0.0465188)
 [0,0.0473814)
 [0,0.0543783)
 [0,0.055)
 [0,0.0586007)
 [0,0.0622254)
 [0,0.0642027)
 [0,0.0713092)
 [0,0.079511)
 [0,0.0868159)
 [0,0.0920869)
 [0,0.0979439)
 [0,0.0982702)
 [0,0.100499)
 [0,0.10401)
 [0,0.110463)
 [0,0.113283)
 [0,0.114039)
 [0,0.114909)
 [0,0.117004)
 [0,0.117324)
 [0,0.118533)
 [0,0.122348)
 [0,0.124004)
 [0,0.124258)
 [0,0.128141)
 [0,0.129295)
 [0,0.12963)
 [0,0.13132)
 [0,0.137753)
 [0,0.139312)
 [0,0.14089)
 [0,0.145836)
 [0,0.146168)
 [0,0.147085)
 [0,0.147827)
 [0,0.148788)
 [0,0.149616)
 [0,0.150881)
 [0,0.151172)
 [0,0.152957)
 [0,0.154353)
 [0,0.156732)
 [0,0.166677)
 [0,0.167108)
 [0,0.167108)
 [0,0.167287)
 [0,0.170461)
 [0,0.171735)
 [0,0.172801)
 [0,0.173488)
 [0,0.174012)
 [0,0.174287)
 [0,0.174897)
 [0,0.177045)
 [0,0.177229)
 [0,0.177342)
 [0,0.17753)
 [0,0.178844)
 [0,0.179067)
 [0,0.179981)
 [0,0.180768)
 [0,0.181135)
 [0,0.181135)
 [0,0.181686)
 [0,0.181951)
 [0,0.182)
 [0,0.182036)
 [0,0.182483)
 [0,0.184011)
 [0,0.184805)
 [0,0.184938)
 [0,0.185952)
 [0,0.186035)
 [0,0.18651)
 [0,0.187243)
 [0,0.18886)
 [0,0.190394)
 [0,0.190394)
 [0,0.190413)
 [0,0.190515)
 [0,0.19105)
 [0,0.191343)
 [0,0.191377)
 [0,0.192052)
 [0,0.194312)
 [0,0.1947)
 [0,0.194982)
 [0,0.195243)
 [0,0.195502)
 [0,0.195563)
 [0,0.195819)
 [0,0.19601)
 [0,0.196744)
 [0,0.198645)
 [0,0.1997)
 [0,0.200803)
 [0,0.20101)
 [0,0.201246)
 [0,0.201645)
 [0,0.201718)
 [0,0.201777)
 [0,0.202022)
 [0,0.20241)
 [0,0.202805)
 [0,0.203532)
 [0,0.204402)
 [0,0.205039)
 [0,0.205105)
 [0,0.205855)
 [0,0.205867)
 [0,0.206693)
 [0,0.206788)
 [0,0.207002)
 [0,0.207002)
 [0,0.207195)
 [0,0.207393)
 [0,0.207964)
 [0,0.208435)
 [0,0.208655)
 [0,0.208751)
 [0,0.209122)
 [0,0.210288)
 [0,0.210466)
 [0,0.210874)
 [0,0.211028)
 [0,0.211227)
 [0,0.211589)
 [0,0.211873)
 [0,0.21188)
 [0,0.211929)
 [0,0.212681)
 [0,0.212812)
 [0,0.212897)
 [0,0.213002)
 [0,0.21319)
 [0,0.213378)
 [0,0.213565)
 [0,0.213827)
 [0,0.213841)
 [0,0.213883)
 [0,0.214161)
 [0,0.215342)
 [0,0.216462)
 [0,0.216933)
 [0,0.217044)
 [0,0.217083)
 [0,0.217118)
 [0,0.217513)
 [0,0.217904)
 [0,0.218213)
 [0,0.21833)
 [0,0.21868)
 [0,0.219693)
 [0,0.220103)
 [0,0.220166)
 [0,0.220656)
 [0,0.220783)
 [0,0.221)
 [0,0.221054)
 [0,0.221111)
 [0,0.221269)
 [0,0.221515)
 [0,0.221894)
 [0,0.222299)
 [0,0.222497)
 [0,0.222506)
 [0,0.222766)
 [0,0.223056)
 [0,0.223365)
 [0,0.2236)
 [0,0.223618)
 [0,0.223761)
 [0,0.224056)
 [0,0.224163)
 [0,0.224628)
 [0,0.224804)
 [0,0.224804)
 [0,0.224876)
 [0,0.225078)
 [0,0.225397)
 [0,0.225398)
 [0,0.225754)
 [0,0.225807)
 [0,0.226179)
 [0,0.226813)
 [0,0.226928)
 [0,0.227016)
 [0,0.22715)
 [0,0.227407)
 [0,0.227706)
 [0,0.228002)
 [0,0.228116)
 [0,0.228473)
 [0,0.22857)
 [0,0.22858)
 [0,0.228633)
 [0,0.228954)
 [0,0.229008)
 [0,0.229009)
 [0,0.229166)
 [0,0.229177)
 [0,0.229218)
 [0,0.229671)
 [0,0.229956)
 [0,0.230098)
 [0,0.23017)
 [0,0.230868)
 [0,0.230894)
 [0,0.231009)
 [0,0.231041)
 [0,0.231424)
 [0,0.23208)
 [0,0.232108)
 [0,0.232355)
 [0,0.232484)
 [0,0.232948)
 [0,0.233086)
 [0,0.233112)
 [0,0.233137)
 [0,0.233311)
 [0,0.233431)
 [0,0.233823)
 [0,0.233829)
 [0,0.233985)
 [0,0.234047)
 [0,0.234068)
 [0,0.234472)
 [0,0.234478)
 [0,0.234804)
 [0,0.234955)
 [0,0.235017)
 [0,0.235053)
 [0,0.235153)
 [0,0.235255)
 [0,0.235315)
 [0,0.235648)
 [0,0.235697)
 [0,0.235765)
 [0,0.235915)
 [0,0.235937)
 [0,0.236038)
 [0,0.236053)
 [0,0.236072)
 [0,0.236305)
 [0,0.236373)
 [0,0.236685)
 [0,0.236719)
 [0,0.236764)
 [0,0.236884)
 [0,0.237394)
 [0,0.237402)
 [0,0.237598)
