point cloud with 50924 points in dimension 3
value range: [0,182.321]
sparse distance matrix with 50924 points and 62528/1296626887 entries
persistence intervals in dim 0:
 [0,0.175237)
 [0,0.175354)
 [0,0.176006)
 [0,0.17623)
 [0,0.176233)
 [0,0.17657)
 [0,0.176827)
 [0,0.17773)
 [0,0.178045)
 [0,0.179011)
 [0,0.179279)
 [0,0.180269)
 [0,0.180427)
 [0,0.181202)
 [0,0.181202)
 [0,0.181202)
 [0,0.181202)
 [0,0.182165)
 [0,0.182274)
 [0,0.182455)
 [0,0.182496)
 [0,0.182496)
 [0,0.18265)
 [0,0.182694)
 [0,0.183576)
 [0,0.183831)
 [0,0.18422)
 [0,0.184228)
 [0,0.184253)
 [0,0.184393)
 [0,0.1847)
 [0,0.184743)
 [0,0.185952)
 [0,0.185973)
 [0,0.186797)
 [0,0.186944)
 [0,0.187085)
 [0,0.187211)
 [0,0.187553)
 [0,0.187963)
 [0,0.188096)
 [0,0.188383)
 [0,0.188862)
 [0,0.189066)
 [0,0.189095)
 [0,0.189172)
 [0,0.189694)
 [0,0.190066)
 [0,0.190119)
 [0,0.190224)
 [0,0.190245)
 [0,0.190421)
 [0,0.190759)
 [0,0.190759)
 [0,0.190759)
 [0,0.190759)
 [0,0.190919)
 [0,0.190919)
 [0,0.190924)
 [0,0.19145)
 [0,0.191604)
 [0,0.191651)
 [0,0.191755)
 [0,0.191802)
 [0,0.192065)
 [0,0.192094)
 [0,0.192096)
 [0,0.193499)
 [0,0.19383)
 [0,0.193892)
 [0,0.194003)
 [0,0.194201)
 [0,0.194258)
 [0,0.194486)
 [0,0.194589)
 [0,0.194756)
 [0,0.194918)
 [0,0.195064)
 [0,0.195144)
 [0,0.195387)
 [0,0.195489)
 [0,0.195502)
 [0,0.19576)
 [0,0.196229)
 [0,0.19629)
 [0,0.196459)
 [0,0.196512)
 [0,0.196698)
 [0,0.196703)
 [0,0.196786)
 [0,0.196797)
 [0,0.197101)
 [0,0.197254)
 [0,0.197365)
 [0,0.197408)
 [0,0.197851)
 [0,0.19796)
 [0,0.19801)
 [0,0.198023)
 [0,0.198214)
 [0,0.198215)
 [0,0.198648)
 [0,0.198726)
 [0,0.199078)
 [0,0.199251)
 [0,0.199462)
 [0,0.199805)
 [0,0.199812)
 [0,0.199812)
 [0,0.200002)
 [0,0.200142)
 [0,0.20025)
 [0,0.200392)
 [0,0.200524)
 [0,0.200524)
 [0,0.200529)
 [0,0.200823)
 [0,0.200831)
 [0,0.201246)
 [0,0.201341)
 [0,0.201358)
 [0,0.201556)
 [0,0.201718)
 [0,0.201815)
 [0,0.202141)
 [0,0.2022)
 [0,0.202714)
 [0,0.202943)
 [0,0.203384)
 [0,0.203394)
 [0,0.203394)
 [0,0.203482)
 [0,0.203629)
 [0,0.203629)
 [0,0.203824)
 [0,0.204157)
 [0,0.204277)
 [0,0.204355)
 [0,0.20456)
 [0,0.204749)
 [0,0.204788)
 [0,0.204824)
 [0,0.204834)
 [0,0.204971)
 [0,0.205409)
 [0,0.205548)
 [0,0.206)
 [0,0.206002)
 [0,0.206178)
 [0,0.206323)
 [0,0.206349)
 [0,0.2064)
 [0,0.20693)
 [0,0.207002)
 [0,0.207022)
 [0,0.207041)
 [0,0.207068)
 [0,0.207461)
 [0,0.207473)
 [0,0.207509)
 [0,0.207624)
 [0,0.207663)
 [0,0.208147)
 [0,0.208154)
 [0,0.208154)
 [0,0.208195)
 [0,0.208403)
 [0,0.208404)
 [0,0.20854)
 [0,0.208828)
 [0,0.209201)
 [0,0.209308)
 [0,0.209404)
 [0,0.209468)
 [0,0.209468)
 [0,0.209612)
 [0,0.209614)
 [0,0.209898)
 [0,0.210021)
 [0,0.210288)
 [0,0.210298)
 [0,0.210343)
 [0,0.210583)
 [0,0.21077)
 [0,0.211047)
 [0,0.211152)
 [0,0.211287)
 [0,0.211294)
 [0,0.211367)
 [0,0.211443)
 [0,0.211483)
 [0,0.212191)
 [0,0.212492)
 [0,0.21285)
 [0,0.212927)
 [0,0.213021)
 [0,0.213213)
 [0,0.213242)
 [0,0.213469)
 [0,0.213565)
 [0,0.213588)
 [0,0.213846)
 [0,0.214002)
 [0,0.214021)
 [0,0.214441)
 [0,0.214704)
 [0,0.214981)
 [0,0.215188)
 [0,0.215629)
 [0,0.215761)
 [0,0.215761)
 [0,0.215967)
 [0,0.216363)
 [0,0.216448)
 [0,0.216603)
 [0,0.21667)
 [0,0.21676)
 [0,0.216898)
 [0,0.216933)
 [0,0.216982)
 [0,0.217009)
 [0,0.217166)
 [0,0.217187)
 [0,0.217702)
 [0,0.2178)
 [0,0.218103)
 [0,0.218278)
 [0,0.218525)
 [0,0.21868)
 [0,0.218936)
 [0,0.219021)
 [0,0.219135)
 [0,0.219338)
 [0,0.219456)
 [0,0.219584)
 [0,0.219586)
 [0,0.219823)
 [0,0.219966)
 [0,0.219973)
 [0,0.22022)
 [0,0.220238)
 [0,0.220272)
 [0,0.220554)
 [0,0.220601)
 [0,0.220857)
 [0,0.220858)
 [0,0.220953)
 [0,0.220989)
 [0,0.221206)
 [0,0.221335)
 [0,0.221815)
 [0,0.221923)
 [0,0.222036)
 [0,0.222252)
 [0,0.222407)
 [0,0.222497)
 [0,0.222504)
 [0,0.222686)
 [0,0.222767)
 [0,0.222827)
 [0,0.222991)
 [0,0.222991)
 [0,0.223002)
 [0,0.223188)
 [0,0.223394)
 [0,0.22345)
 [0,0.22345)
 [0,0.223652)
 [0,0.223886)
 [0,0.223987)
 [0,0.224018)
 [0,0.22402)
 [0,0.224109)
 [0,0.224154)
 [0,0.22427)
 [0,0.224321)
 [0,0.224571)
 [0,0.224611)
 [0,0.224635)
 [0,0.224662)
 [0,0.22484)
 [0,0.224955)
 [0,0.225204)
 [0,0.225397)
 [0,0.225719)
 [0,0.225737)
 [0,0.225743)
 [0,0.225869)
 [0,0.225887)
 [0,0.226119)
 [0,0.226318)
 [0,0.226491)
 [0,0.226632)
 [0,0.226716)
 [0,0.226738)
 [0,0.226773)
 [0,0.22715)
 [0,0.2272)
 [0,0.227636)
 [0,0.227772)
 [0,0.227798)
 [0,0.227864)
 [0,0.228002)
 [0,0.228064)
 [0,0.22809)
 [0,0.228484)
 [0,0.2286)
 [0,0.229009)
 [0,0.229094)
 [0,0.229201)
 [0,0.229225)
 [0,0.229682)
 [0,0.229689)
 [0,0.22987)
 [0,0.23)
 [0,0.23002)
 [0,0.230107)
 [0,0.230152)
 [0,0.230184)
 [0,0.230263)
 [0,0.230274)
 [0,0.230313)
 [0,0.230341)
 [0,0.230688)
 [0,0.230703)
 [0,0.230729)
 [0,0.230825)
 [0,0.230868)
 [0,0.230868)
 [0,0.230868)
 [0,0.231002)
 [0,0.231043)
 [0,0.231225)
 [0,0.231249)
 [0,0.231366)
 [0,0.231459)
 [0,0.231502)
 [0,0.231821)
 [0,0.231948)
 [0,0.232157)
 [0,0.232166)
 [0,0.232228)
 [0,0.232229)
 [0,0.232312)
 [0,0.232381)
 [0,0.232551)
 [0,0.232648)
 [0,0.232744)
 [0,0.232964)
 [0,0.233019)
 [0,0.233019)
 [0,0.23306)
 [0,0.233077)
 [0,0.233122)
 [0,0.233206)
 [0,0.233206)
 [0,0.233214)
 [0,0.233362)
 [0,0.233362)
 [0,0.23338)
 [0,0.233617)
 [0,0.233619)
 [0,0.233805)
 [0,0.234197)
 [0,0.234308)
 [0,0.234438)
 [0,0.234523)
 [0,0.234542)
 [0,0.23461)
 [0,0.23461)
 [0,0.234719)
 [0,0.234776)
 [0,0.234785)
 [0,0.234913)
 [0,0.235053)
 [0,0.235053)
 [0,0.235136)
 [0,0.235255)
 [0,0.23528)
 [0,0.235342)
 [0,0.23544)
 [0,0.235553)
 [0,0.235688)
 [0,0.235697)
 [0,0.23579)
 [0,0.235907)
 [0,0.235934)
 [0,0.236008)
 [0,0.236135)
 [0,0.236144)
 [0,0.23618)
 [0,0.236254)
 [0,0.236256)
 [0,0.236316)
 [0,0.236425)
 [0,0.236542)
 [0,0.236578)
 [0,0.23684)
 [0,0.236933)
 [0,0.237255)
 [0,0.237255)
 [0,0.237255)
 [0,0.237306)
 [0,0.237306)
 [0,0.237407)
 [0,0.237542)
 [0,0.237693)
 [0,0.237893)
 [0,0.237969)
 [0,0.238097)
 [0,0.238202)
 [0,0.238466)
 [0,0.238824)
 [0,0.239002)
 [0,0.23904)
 [0,0.239075)
 [0,0.239136)
 [0,0.23914)
 [0,0.239176)
 [0,0.239209)
 [0,0.239253)
 [0,0.239282)
 [0,0.239301)
 [0,0.239353)
 [0,0.239401)
 [0,0.23941)
 [0,0.23942)
 [0,0.23942)
 [0,0.23952)
 [0,0.239633)
 [0,0.239704)
 [0,0.239852)
 [0,0.240008)
 [0,0.240008)
 [0,0.240075)
 [0,0.240127)
 [0,0.240252)
 [0,0.240337)
 [0,0.240408)
 [0,0.24041)
 [0,0.240601)
 [0,0.240635)
 [0,0.240682)
 [0,0.240751)
 [0,0.240832)
 [0,0.24084)
 [0,0.241075)
 [0,0.241102)
 [0,0.241151)
 [0,0.241404)
 [0,0.241506)
 [0,0.241598)
 [0,0.241746)
 [0,0.24181)
 [0,0.241897)
 [0,0.241913)
 [0,0.242033)
 [0,0.242033)
 [0,0.242244)
 [0,0.24225)
 [0,0.242396)
 [0,0.242405)
 [0,0.24244)
 [0,0.242508)
 [0,0.242508)
 [0,0.242539)
 [0,0.24299)
 [0,0.243023)
 [0,0.243033)
 [0,0.243239)
 [0,0.243288)
 [0,0.243403)
 [0,0.243501)
 [0,0.243516)
 [0,0.243526)
 [0,0.243526)
 [0,0.24359)
 [0,0.243647)
 [0,0.243647)
 [0,0.243705)
 [0,0.243772)
 [0,0.243824)
 [0,0.243836)
 [0,0.243846)
 [0,0.244131)
 [0,0.244182)
 [0,0.244233)
 [0,0.244377)
 [0,0.244477)
 [0,0.244534)
 [0,0.244559)
 [0,0.244755)
 [0,0.244827)
 [0,0.244902)
 [0,0.244935)
 [0,0.24499)
 [0,0.245204)
 [0,0.245204)
 [0,0.24522)
 [0,0.245226)
 [0,0.245247)
 [0,0.245375)
 [0,0.245601)
 [0,0.245717)
 [0,0.245752)
 [0,0.245931)
 [0,0.245978)
 [0,0.245986)
 [0,0.246018)
 [0,0.246065)
 [0,0.246077)
 [0,0.2461)
 [0,0.24611)
 [0,0.246165)
 [0,0.246173)
 [0,0.246221)
 [0,0.246238)
 [0,0.246358)
 [0,0.246603)
 [0,0.246862)
 [0,0.246868)
 [0,0.246887)
 [0,0.24697)
 [0,0.247002)
 [0,0.247073)
 [0,0.247111)
 [0,0.247121)
 [0,0.247386)
 [0,0.247427)
 [0,0.247621)
 [0,0.247736)
 [0,0.247776)
 [0,0.247952)
 [0,0.248072)
 [0,0.248073)
 [0,0.248196)
 [0,0.248211)
 [0,0.24823)
 [0,0.248294)
 [0,0.248421)
 [0,0.248558)
 [0,0.248727)
 [0,0.248727)
 [0,0.248809)
 [0,0.248887)
 [0,0.248928)
 [0,0.248944)
 [0,0.249002)
 [0,0.249008)
 [0,0.249098)
 [0,0.249098)
 [0,0.249201)
 [0,0.249289)
 [0,0.249369)
 [0,0.249387)
 [0,0.249393)
 [0,0.249467)
 [0,0.249552)
 [0,0.249634)
 [0,0.249658)
 [0,0.249658)
 [0,0.249804)
 [0,0.249816)
 [0,0.249898)
 [0,0.250032)
 [0,0.250032)
 [0,0.250032)
 [0,0.250032)
 [0,0.250032)
 [0,0.250032)
 [0,0.25006)
 [0,0.25006)
 [0,0.250066)
 [0,0.25014)
 [0,0.250242)
 [0,0.250282)
 [0,0.250332)
 [0,0.250416)
 [0,0.25045)
 [0,0.25045)
 [0,0.25046)
 [0,0.250505)
 [0,0.250577)
 [0,0.250799)
 [0,0.250799)
 [0,0.250801)
 [0,0.250833)
 [0,0.250833)
 [0,0.25096)
 [0,0.251002)
 [0,0.251078)
 [0,0.251191)
 [0,0.251223)
 [0,0.251287)
 [0,0.251287)
 [0,0.25131)
 [0,0.251348)
 [0,0.251348)
 [0,0.251436)
 [0,0.251454)
 [0,0.251454)
 [0,0.251629)
 [0,0.2517)
 [0,0.251716)
 [0,0.251734)
