point cloud with 62312 points in dimension 3
value range: [0.029,205.449]
sparse distance matrix with 62312 points and 88012/1941392671 entries
persistence intervals in dim 0:
 [0,0.029)
 [0,0.0319528)
 [0,0.0323111)
 [0,0.0366198)
 [0,0.0490409)
 [0,0.0494975)
 [0,0.0546717)
 [0,0.0595062)
 [0,0.0602078)
 [0,0.072111)
 [0,0.0739797)
 [0,0.0764853)
 [0,0.0790757)
 [0,0.0854749)
 [0,0.0955249)
 [0,0.111005)
 [0,0.115745)
 [0,0.116108)
 [0,0.116825)
 [0,0.117086)
 [0,0.117107)
 [0,0.117652)
 [0,0.123239)
 [0,0.124198)
 [0,0.124615)
 [0,0.125766)
 [0,0.125897)
 [0,0.128004)
 [0,0.128063)
 [0,0.12816)
 [0,0.135059)
 [0,0.135978)
 [0,0.137058)
 [0,0.1386)
 [0,0.140663)
 [0,0.142126)
 [0,0.142888)
 [0,0.143423)
 [0,0.147054)
 [0,0.14734)
 [0,0.148165)
 [0,0.149626)
 [0,0.150562)
 [0,0.153082)
 [0,0.153457)
 [0,0.153688)
 [0,0.155206)
 [0,0.155322)
 [0,0.158354)
 [0,0.15939)
 [0,0.15979)
 [0,0.159791)
 [0,0.160253)
 [0,0.162111)
 [0,0.162373)
 [0,0.162505)
 [0,0.163175)
 [0,0.163811)
 [0,0.164478)
 [0,0.164794)
 [0,0.166208)
 [0,0.169106)
 [0,0.169189)
 [0,0.169201)
 [0,0.169296)
 [0,0.169812)
 [0,0.170449)
 [0,0.170652)
 [0,0.17147)
 [0,0.171735)
 [0,0.172308)
 [0,0.173012)
 [0,0.173367)
 [0,0.173658)
 [0,0.174003)
 [0,0.17423)
 [0,0.174471)
 [0,0.174657)
 [0,0.175414)
 [0,0.175841)
 [0,0.175855)
 [0,0.175935)
 [0,0.176284)
 [0,0.176918)
 [0,0.177192)
 [0,0.177248)
 [0,0.178219)
 [0,0.179011)
 [0,0.179047)
 [0,0.179137)
 [0,0.179201)
 [0,0.18005)
 [0,0.18058)
 [0,0.181044)
 [0,0.181342)
 [0,0.181893)
 [0,0.182132)
 [0,0.182332)
 [0,0.182409)
 [0,0.182937)
 [0,0.182989)
 [0,0.183981)
 [0,0.184448)
 [0,0.184835)
 [0,0.185003)
 [0,0.186011)
 [0,0.186682)
 [0,0.187032)
 [0,0.187302)
 [0,0.187387)
 [0,0.187683)
 [0,0.188042)
 [0,0.188162)
 [0,0.188353)
 [0,0.188449)
 [0,0.188605)
 [0,0.188799)
 [0,0.189061)
 [0,0.189066)
 [0,0.189156)
 [0,0.189447)
 [0,0.189497)
 [0,0.189708)
 [0,0.18976)
 [0,0.190906)
 [0,0.191084)
 [0,0.19169)
 [0,0.191755)
 [0,0.192816)
 [0,0.193018)
 [0,0.193132)
 [0,0.193313)
 [0,0.193848)
 [0,0.194551)
 [0,0.194551)
 [0,0.195021)
 [0,0.195225)
 [0,0.195413)
 [0,0.19576)
 [0,0.196217)
 [0,0.19654)
 [0,0.196621)
 [0,0.197091)
 [0,0.197124)
 [0,0.197294)
 [0,0.197585)
 [0,0.197717)
 [0,0.1978)
 [0,0.198002)
 [0,0.198116)
 [0,0.198708)
 [0,0.19965)
 [0,0.199833)
 [0,0.200771)
 [0,0.200878)
 [0,0.201109)
 [0,0.201248)
 [0,0.201375)
 [0,0.201435)
 [0,0.202089)
 [0,0.202089)
 [0,0.20223)
 [0,0.20225)
 [0,0.202371)
 [0,0.202726)
 [0,0.203039)
 [0,0.20316)
 [0,0.203593)
 [0,0.20363)
 [0,0.20363)
 [0,0.203725)
 [0,0.204475)
 [0,0.204942)
 [0,0.20512)
 [0,0.205197)
 [0,0.205361)
 [0,0.205409)
 [0,0.205412)
 [0,0.205516)
 [0,0.206206)
 [0,0.206342)
 [0,0.206497)
 [0,0.206553)
 [0,0.206642)
 [0,0.207077)
 [0,0.207184)
 [0,0.207234)
 [0,0.207618)
 [0,0.207685)
 [0,0.208291)
 [0,0.208598)
 [0,0.208626)
 [0,0.209038)
 [0,0.209695)
 [0,0.209767)
 [0,0.209881)
 [0,0.209974)
 [0,0.210022)
 [0,0.210107)
 [0,0.210202)
 [0,0.210623)
 [0,0.210801)
 [0,0.210877)
 [0,0.211152)
 [0,0.211227)
 [0,0.211377)
 [0,0.211625)
 [0,0.211854)
 [0,0.211873)
 [0,0.211896)
 [0,0.211967)
 [0,0.212137)
 [0,0.212269)
 [0,0.212721)
 [0,0.213002)
 [0,0.213002)
 [0,0.213026)
 [0,0.213122)
 [0,0.213178)
 [0,0.213216)
 [0,0.213338)
 [0,0.213378)
 [0,0.2136)
 [0,0.213785)
 [0,0.213925)
 [0,0.214021)
 [0,0.214217)
 [0,0.214705)
 [0,0.214709)
 [0,0.214721)
 [0,0.214853)
 [0,0.215037)
 [0,0.215077)
 [0,0.215112)
 [0,0.215244)
 [0,0.215613)
 [0,0.215669)
 [0,0.215956)
