point cloud with 26392 points in dimension 3
value range: [0.14857,139.408]
sparse distance matrix with 26392 points and 23943/348268831 entries
persistence intervals in dim 0:
 [0,0.14857)
 [0,0.150921)
 [0,0.157035)
 [0,0.162163)
 [0,0.17596)
 [0,0.176409)
 [0,0.177553)
 [0,0.180953)
 [0,0.1836)
 [0,0.18882)
 [0,0.195387)
 [0,0.196156)
 [0,0.197231)
 [0,0.200584)
 [0,0.20102)
 [0,0.201546)
 [0,0.203679)
 [0,0.205543)
 [0,0.205913)
 [0,0.206041)
 [0,0.207608)
 [0,0.208038)
 [0,0.209459)
 [0,0.210609)
 [0,0.21095)
 [0,0.211691)
 [0,0.213432)
 [0,0.213516)
 [0,0.214283)
 [0,0.214842)
 [0,0.215177)
 [0,0.21602)
 [0,0.216982)
 [0,0.217186)
 [0,0.218215)
 [0,0.219201)
 [0,0.219338)
 [0,0.219463)
 [0,0.219493)
 [0,0.219495)
 [0,0.219513)
 [0,0.222704)
 [0,0.222729)
 [0,0.223188)
 [0,0.223607)
 [0,0.223893)
 [0,0.224715)
 [0,0.225291)
 [0,0.225743)
 [0,0.226374)
 [0,0.227247)
 [0,0.228079)
 [0,0.228875)
 [0,0.228963)
 [0,0.229201)
 [0,0.22963)
 [0,0.230019)
 [0,0.230326)
 [0,0.230586)
 [0,0.232054)
 [0,0.232243)
 [0,0.232433)
 [0,0.233452)
 [0,0.233549)
 [0,0.2339)
 [0,0.234696)
 [0,0.234719)
 [0,0.234883)
 [0,0.235491)
 [0,0.236019)
 [0,0.236907)
 [0,0.237019)
 [0,0.237144)
 [0,0.237626)
 [0,0.237794)
 [0,0.237861)
 [0,0.237901)
 [0,0.238271)
 [0,0.23873)
 [0,0.239008)
 [0,0.239827)
 [0,0.24)
 [0,0.240352)
 [0,0.240354)
 [0,0.241299)
 [0,0.24135)
 [0,0.241677)
 [0,0.24186)
 [0,0.242844)
 [0,0.243074)
 [0,0.243148)
 [0,0.243508)
 [0,0.243822)
 [0,0.243852)
 [0,0.244002)
 [0,0.244248)
 [0,0.244561)
 [0,0.244812)
 [0,0.244969)
 [0,0.245098)
 [0,0.245978)
 [0,0.246564)
 [0,0.246941)
 [0,0.247386)
 [0,0.247388)
 [0,0.247487)
 [0,0.247504)
 [0,0.247509)
 [0,0.248169)
 [0,0.248244)
 [0,0.248556)
 [0,0.248654)
 [0,0.249128)
 [0,0.249159)
 [0,0.249884)
 [0,0.250683)
 [0,0.250799)
 [0,0.251032)
 [0,0.251287)
 [0,0.251382)
 [0,0.251406)
 [0,0.251782)
 [0,0.251796)
 [0,0.251859)
 [0,0.252008)
 [0,0.252198)
 [0,0.2522)
 [0,0.25242)
 [0,0.253002)
 [0,0.253308)
 [0,0.253712)
 [0,0.2539)
 [0,0.254018)
 [0,0.254032)
 [0,0.254238)
 [0,0.254342)
 [0,0.254449)
 [0,0.255002)
 [0,0.255002)
 [0,0.255096)
 [0,0.255415)
 [0,0.255478)
 [0,0.255666)
 [0,0.256494)
 [0,0.25672)
 [0,0.256899)
 [0,0.25739)
 [0,0.25762)
 [0,0.257769)
 [0,0.25801)
 [0,0.258565)
 [0,0.259307)
 [0,0.259332)
 [0,0.259384)
 [0,0.259409)
 [0,0.259625)
 [0,0.259665)
 [0,0.259833)
 [0,0.259879)
 [0,0.26011)
 [0,0.260163)
 [0,0.26021)
 [0,0.260377)
 [0,0.261002)
 [0,0.261268)
 [0,0.2614)
 [0,0.261765)
 [0,0.261819)
 [0,0.261843)
 [0,0.262185)
 [0,0.262254)
 [0,0.262429)
 [0,0.262488)
 [0,0.26268)
 [0,0.263068)
 [0,0.263093)
 [0,0.26323)
 [0,0.263427)
 [0,0.263464)
 [0,0.263503)
 [0,0.263941)
 [0,0.264252)
 [0,0.2647)
 [0,0.264764)
 [0,0.265006)
 [0,0.265138)
 [0,0.265166)
 [0,0.26603)
 [0,0.266332)
 [0,0.266481)
 [0,0.266528)
 [0,0.266552)
 [0,0.266563)
 [0,0.266728)
 [0,0.266833)
 [0,0.267017)
 [0,0.267327)
 [0,0.267442)
 [0,0.267464)
 [0,0.267479)
 [0,0.267824)
 [0,0.267884)
 [0,0.268198)
