point cloud with 26899 points in dimension 3
value range: [0.017862,79.4191]
sparse distance matrix with 26899 points and 98331/361778100 entries
persistence intervals in dim 0:
 [0,0.017862)
 [0,0.0296675)
 [0,0.0316735)
 [0,0.0348051)
 [0,0.0349606)
 [0,0.0354796)
 [0,0.0355017)
 [0,0.0365207)
 [0,0.0366215)
 [0,0.0373237)
 [0,0.0378662)
 [0,0.0391739)
 [0,0.039402)
 [0,0.0395285)
 [0,0.0398765)
 [0,0.0402031)
 [0,0.0403746)
 [0,0.0404002)
 [0,0.0406724)
 [0,0.0410857)
 [0,0.0412701)
 [0,0.0414671)
 [0,0.0417613)
 [0,0.0419001)
 [0,0.0422414)
 [0,0.0432058)
 [0,0.0437673)
 [0,0.0437905)
 [0,0.0447017)
 [0,0.0448072)
 [0,0.0449037)
 [0,0.0449725)
 [0,0.045224)
 [0,0.0464246)
 [0,0.0468845)
 [0,0.0477604)
 [0,0.0486544)
 [0,0.0489663)
 [0,0.0491234)
 [0,0.0504048)
 [0,0.0508469)
 [0,0.0508931)
 [0,0.0514771)
 [0,0.0517747)
 [0,0.0518335)
 [0,0.0519965)
 [0,0.0525384)
 [0,0.0526077)
 [0,0.0526925)
 [0,0.0531077)
 [0,0.0534195)
 [0,0.0534694)
 [0,0.0536985)
 [0,0.0546771)
 [0,0.0546989)
 [0,0.0554189)
 [0,0.0594094)
 [0,0.0595042)
 [0,0.0599554)
 [0,0.0604648)
 [0,0.0620343)
 [0,0.0628859)
 [0,0.0637101)
 [0,0.0647001)
 [0,0.0651309)
 [0,0.0693025)
 [0,0.0693752)
 [0,0.0708656)
 [0,0.0722056)
 [0,0.0766697)
 [0,0.0782148)
 [0,0.0782785)
 [0,0.0796273)
 [0,0.0797903)
 [0,0.0820715)
 [0,0.0845604)
 [0,0.085731)
 [0,0.0915665)
 [0,0.091727)
 [0,0.0922921)
 [0,0.0953363)
 [0,0.0976972)
 [0,0.103173)
 [0,0.104359)
 [0,0.10635)
 [0,0.106912)
 [0,0.10734)
 [0,0.108244)
 [0,0.108669)
 [0,0.110074)
 [0,0.111515)
 [0,0.113003)
 [0,0.114557)
 [0,0.115021)
 [0,0.11573)
 [0,0.118517)
 [0,0.119072)
 [0,0.120393)
 [0,0.12099)
 [0,0.12503)
 [0,0.125267)
 [0,0.125289)
 [0,0.125798)
 [0,0.128718)
 [0,0.131403)
 [0,0.133005)
 [0,0.133159)
 [0,0.133887)
 [0,0.134478)
 [0,0.134809)
 [0,0.136187)
 [0,0.137961)
 [0,0.139678)
 [0,0.140704)
 [0,0.141981)
 [0,0.142815)
 [0,0.143847)
 [0,0.145532)
 [0,0.146362)
 [0,0.149142)
 [0,0.150199)
 [0,0.150245)
 [0,0.150556)
 [0,0.150812)
 [0,0.151826)
 [0,0.152283)
 [0,0.152621)
 [0,0.152717)
 [0,0.154768)
 [0,0.155279)
 [0,0.156084)
 [0,0.157117)
 [0,0.15733)
 [0,0.157421)
 [0,0.159597)
 [0,0.15984)
 [0,0.159952)
 [0,0.160201)
 [0,0.160352)
 [0,0.160401)
 [0,0.16055)
 [0,0.162056)
 [0,0.162664)
 [0,0.1627)
 [0,0.164762)
 [0,0.165281)
 [0,0.165637)
 [0,0.166143)
 [0,0.166183)
 [0,0.166821)
 [0,0.168363)
 [0,0.169457)
 [0,0.170108)
 [0,0.17085)
 [0,0.171412)
 [0,0.171504)
 [0,0.171515)
 [0,0.17172)
 [0,0.172501)
 [0,0.173469)
 [0,0.174052)
 [0,0.174082)
 [0,0.174862)
 [0,0.17548)
 [0,0.175656)
 [0,0.176095)
 [0,0.17666)
 [0,0.177131)
 [0,0.178067)
 [0,0.17896)
 [0,0.179342)
 [0,0.179515)
 [0,0.179929)
 [0,0.180229)
 [0,0.180344)
 [0,0.180719)
 [0,0.181833)
 [0,0.182413)
 [0,0.182442)
 [0,0.182791)
 [0,0.182987)
 [0,0.18397)
 [0,0.184109)
 [0,0.184623)
 [0,0.18482)
 [0,0.185118)
 [0,0.185483)
 [0,0.18635)
 [0,0.186623)
 [0,0.187093)
 [0,0.187166)
 [0,0.187395)
 [0,0.187653)
 [0,0.187878)
 [0,0.187948)
 [0,0.188034)
 [0,0.188165)
 [0,0.188354)
 [0,0.188488)
 [0,0.18935)
 [0,0.18964)
 [0,0.189848)
 [0,0.190625)
 [0,0.19065)
 [0,0.190831)
 [0,0.191179)
 [0,0.191254)
 [0,0.191413)
 [0,0.191638)
 [0,0.191792)
 [0,0.192162)
 [0,0.192879)
 [0,0.193023)
 [0,0.194099)
 [0,0.194216)
 [0,0.194433)
 [0,0.194829)
 [0,0.1951)
 [0,0.195437)
 [0,0.195478)
 [0,0.195605)
 [0,0.195921)
 [0,0.196108)
 [0,0.196349)
 [0,0.196771)
 [0,0.197369)
 [0,0.197716)
 [0,0.198084)
 [0,0.199552)
 [0,0.200394)
 [0,0.200544)
 [0,0.200748)
 [0,0.20107)
 [0,0.201313)
 [0,0.201751)
 [0,0.202312)
 [0,0.202328)
 [0,0.20244)
 [0,0.202603)
 [0,0.202942)
 [0,0.203006)
 [0,0.203013)
 [0,0.203209)
 [0,0.203269)
 [0,0.203291)
 [0,0.203314)
 [0,0.203333)
 [0,0.203672)
 [0,0.20369)
 [0,0.203764)
 [0,0.204043)
 [0,0.204397)
 [0,0.204434)
 [0,0.204745)
 [0,0.204935)
 [0,0.205013)
 [0,0.205166)
 [0,0.205229)
 [0,0.205865)
 [0,0.205985)
 [0,0.206102)
 [0,0.206114)
 [0,0.206456)
 [0,0.206528)
 [0,0.206947)
 [0,0.207218)
 [0,0.207274)
 [0,0.207288)
 [0,0.207403)
 [0,0.207413)
 [0,0.207515)
 [0,0.207595)
 [0,0.207648)
 [0,0.207846)
 [0,0.20785)
 [0,0.208041)
 [0,0.208225)
 [0,0.208592)
 [0,0.208611)
 [0,0.208723)
 [0,0.208848)
 [0,0.209327)
 [0,0.209396)
 [0,0.209807)
 [0,0.20984)
 [0,0.20996)
 [0,0.210167)
 [0,0.210555)
 [0,0.210726)
 [0,0.210845)
 [0,0.21091)
 [0,0.211221)
 [0,0.211396)
 [0,0.211529)
 [0,0.211566)
 [0,0.211706)
 [0,0.211802)
 [0,0.211905)
 [0,0.211921)
 [0,0.212203)
 [0,0.21229)
 [0,0.212297)
 [0,0.212387)
 [0,0.212417)
 [0,0.212806)
 [0,0.212806)
 [0,0.213073)
 [0,0.213244)
 [0,0.214013)
 [0,0.214105)
 [0,0.214128)
 [0,0.214174)
 [0,0.214524)
 [0,0.214538)
 [0,0.214863)
 [0,0.214877)
 [0,0.214972)
 [0,0.215061)
 [0,0.215213)
 [0,0.215336)
 [0,0.215439)
 [0,0.215609)
 [0,0.215923)
 [0,0.215995)
 [0,0.216103)
 [0,0.216476)
 [0,0.216502)
 [0,0.216661)
 [0,0.216717)
 [0,0.216983)
 [0,0.217244)
 [0,0.217359)
 [0,0.217418)
 [0,0.217729)
 [0,0.217782)
 [0,0.217806)
 [0,0.217838)
 [0,0.218128)
 [0,0.21824)
 [0,0.218439)
 [0,0.218529)
 [0,0.218577)
 [0,0.218734)
 [0,0.218756)
 [0,0.218913)
 [0,0.219313)
 [0,0.219434)
 [0,0.220029)
 [0,0.220053)
 [0,0.220153)
 [0,0.22064)
 [0,0.221007)
 [0,0.221101)
 [0,0.221126)
 [0,0.221271)
 [0,0.221494)
 [0,0.221654)
 [0,0.221756)
 [0,0.222056)
 [0,0.222578)
 [0,0.223003)
 [0,0.223411)
 [0,0.223677)
 [0,0.223744)
 [0,0.223821)
 [0,0.223893)
 [0,0.223914)
 [0,0.223968)
 [0,0.224069)
 [0,0.224154)
 [0,0.224191)
 [0,0.224224)
 [0,0.2243)
 [0,0.224328)
 [0,0.224362)
 [0,0.224542)
 [0,0.224599)
 [0,0.224953)
 [0,0.225102)
 [0,0.225146)
 [0,0.225406)
 [0,0.225486)
 [0,0.225573)
 [0,0.225817)
 [0,0.226009)
 [0,0.226195)
 [0,0.226207)
 [0,0.226275)
 [0,0.22683)
 [0,0.226845)
 [0,0.226862)
 [0,0.227396)
 [0,0.227572)
 [0,0.227633)
 [0,0.227642)
 [0,0.227922)
 [0,0.228051)
 [0,0.228067)
 [0,0.228222)
 [0,0.228283)
 [0,0.228358)
 [0,0.228545)
 [0,0.229193)
 [0,0.22931)
 [0,0.229459)
 [0,0.229764)
