point cloud with 39993 points in dimension 3
value range: [0.0590339,181.489]
sparse distance matrix with 39993 points and 45704/799720024 entries
persistence intervals in dim 0:
 [0,0.0590339)
 [0,0.0599999)
 [0,0.0722496)
 [0,0.117047)
 [0,0.12184)
 [0,0.122642)
 [0,0.123976)
 [0,0.128565)
 [0,0.134807)
 [0,0.137)
 [0,0.137768)
 [0,0.138946)
 [0,0.142144)
 [0,0.142888)
 [0,0.144617)
 [0,0.145465)
 [0,0.146373)
 [0,0.147513)
 [0,0.148061)
 [0,0.148314)
 [0,0.152882)
 [0,0.158373)
 [0,0.158597)
 [0,0.162929)
 [0,0.163783)
 [0,0.164201)
 [0,0.165076)
 [0,0.165197)
 [0,0.165979)
 [0,0.166532)
 [0,0.168671)
 [0,0.168884)
 [0,0.169956)
 [0,0.171094)
 [0,0.17254)
 [0,0.175071)
 [0,0.175636)
 [0,0.175847)
 [0,0.176647)
 [0,0.177088)
 [0,0.179293)
 [0,0.179471)
 [0,0.179602)
 [0,0.180228)
 [0,0.180347)
 [0,0.181025)
 [0,0.18132)
 [0,0.181797)
 [0,0.182387)
 [0,0.183003)
 [0,0.18527)
 [0,0.18554)
 [0,0.185594)
 [0,0.186132)
 [0,0.187224)
 [0,0.189747)
 [0,0.189929)
 [0,0.191377)
 [0,0.191859)
 [0,0.194258)
 [0,0.195604)
 [0,0.196331)
 [0,0.197102)
 [0,0.198338)
 [0,0.198595)
 [0,0.198658)
 [0,0.198829)
 [0,0.199251)
 [0,0.199484)
 [0,0.199624)
 [0,0.199813)
 [0,0.200142)
 [0,0.200242)
 [0,0.200609)
 [0,0.201547)
 [0,0.201718)
 [0,0.201854)
 [0,0.201896)
 [0,0.202022)
 [0,0.202312)
 [0,0.203039)
 [0,0.203067)
 [0,0.20377)
 [0,0.204394)
 [0,0.204922)
 [0,0.205387)
 [0,0.205572)
 [0,0.205623)
 [0,0.206167)
 [0,0.2064)
 [0,0.206526)
 [0,0.206526)
 [0,0.206787)
 [0,0.207002)
 [0,0.207099)
 [0,0.208319)
 [0,0.208701)
 [0,0.209724)
 [0,0.210601)
 [0,0.210602)
 [0,0.210642)
 [0,0.210889)
 [0,0.211218)
 [0,0.211455)
 [0,0.212285)
 [0,0.212313)
 [0,0.21285)
 [0,0.212984)
 [0,0.213377)
 [0,0.213701)
 [0,0.213771)
 [0,0.214219)
 [0,0.214953)
 [0,0.216123)
 [0,0.216462)
 [0,0.216539)
 [0,0.216541)
 [0,0.217168)
 [0,0.217313)
 [0,0.217497)
 [0,0.217862)
 [0,0.217904)
 [0,0.218147)
 [0,0.218215)
 [0,0.218689)
 [0,0.219185)
 [0,0.21921)
 [0,0.219313)
 [0,0.219529)
 [0,0.219545)
 [0,0.219572)
 [0,0.219593)
 [0,0.220057)
 [0,0.22022)
 [0,0.220336)
 [0,0.221206)
 [0,0.22138)
 [0,0.221551)
 [0,0.221822)
 [0,0.221996)
 [0,0.222092)
 [0,0.222266)
 [0,0.222733)
 [0,0.223732)
 [0,0.224009)
 [0,0.224183)
 [0,0.224321)
 [0,0.22466)
 [0,0.224735)
 [0,0.224878)
 [0,0.224956)
 [0,0.225036)
 [0,0.225535)
 [0,0.225657)
 [0,0.226135)
 [0,0.226142)
 [0,0.226874)
 [0,0.227167)
 [0,0.227185)
 [0,0.227299)
 [0,0.227495)
 [0,0.227846)
 [0,0.227846)
 [0,0.227904)
 [0,0.228035)
 [0,0.228178)
 [0,0.228219)
 [0,0.228544)
 [0,0.228827)
 [0,0.22895)
 [0,0.229142)
 [0,0.229539)
 [0,0.229898)
 [0,0.230083)
 [0,0.230098)
 [0,0.230098)
 [0,0.230228)
 [0,0.230228)
 [0,0.230361)
 [0,0.230413)
 [0,0.2314)
 [0,0.231417)
 [0,0.231417)
 [0,0.231692)
 [0,0.231709)
 [0,0.231847)
 [0,0.232035)
 [0,0.232142)
 [0,0.232261)
 [0,0.232422)
 [0,0.232607)
 [0,0.23271)
 [0,0.232847)
 [0,0.233032)
 [0,0.233266)
 [0,0.233362)
 [0,0.233384)
 [0,0.233626)
 [0,0.233658)
 [0,0.233932)
 [0,0.234002)
 [0,0.234105)
 [0,0.234267)
 [0,0.234367)
 [0,0.234367)
 [0,0.234472)
 [0,0.234719)
 [0,0.23473)
 [0,0.234798)
 [0,0.23483)
 [0,0.23483)
 [0,0.23483)
 [0,0.23483)
 [0,0.235)
 [0,0.235053)
 [0,0.235077)
 [0,0.23544)
 [0,0.23551)
 [0,0.235595)
 [0,0.235748)
 [0,0.235866)
 [0,0.235926)
 [0,0.235987)
 [0,0.236104)
 [0,0.23614)
 [0,0.236304)
 [0,0.236326)
 [0,0.236603)
 [0,0.236603)
 [0,0.236677)
 [0,0.236681)
 [0,0.236947)
 [0,0.237008)
 [0,0.237008)
 [0,0.237023)
 [0,0.237076)
 [0,0.237118)
 [0,0.237169)
 [0,0.237245)
 [0,0.237716)
 [0,0.237777)
 [0,0.238078)
 [0,0.238298)
 [0,0.238304)
 [0,0.238466)
 [0,0.238504)
 [0,0.238516)
 [0,0.238533)
 [0,0.238648)
 [0,0.239059)
 [0,0.23914)
 [0,0.239416)
 [0,0.239635)
 [0,0.239677)
 [0,0.239708)
 [0,0.239719)
 [0,0.239885)
 [0,0.239985)
 [0,0.240033)
 [0,0.240052)
 [0,0.240085)
 [0,0.24016)
 [0,0.240169)
 [0,0.2403)
 [0,0.240635)
 [0,0.240666)
 [0,0.240693)
 [0,0.240776)
 [0,0.240934)
 [0,0.241008)
 [0,0.241299)
 [0,0.241367)
 [0,0.241406)
 [0,0.241406)
 [0,0.241506)
 [0,0.241615)
 [0,0.24168)
 [0,0.241853)
 [0,0.241868)
 [0,0.241934)
 [0,0.241946)
 [0,0.24196)
 [0,0.242051)
 [0,0.242095)
 [0,0.242349)
 [0,0.24239)
 [0,0.242627)
 [0,0.242685)
 [0,0.242712)
 [0,0.242909)
 [0,0.242986)
 [0,0.243002)
 [0,0.243101)
 [0,0.243181)
 [0,0.243282)
 [0,0.243655)
 [0,0.243758)
 [0,0.243906)
 [0,0.243987)
 [0,0.244182)
 [0,0.244234)
 [0,0.244283)
 [0,0.244364)
 [0,0.244462)
 [0,0.244469)
 [0,0.244524)
 [0,0.244573)
 [0,0.244696)
 [0,0.244739)
 [0,0.244769)
 [0,0.24479)
 [0,0.244904)
 [0,0.245106)
 [0,0.245122)
 [0,0.245204)
 [0,0.245312)
 [0,0.245351)
 [0,0.245406)
 [0,0.245459)
 [0,0.245552)
 [0,0.245618)
 [0,0.245734)
 [0,0.245752)
 [0,0.245752)
 [0,0.245783)
 [0,0.246008)
 [0,0.246205)
 [0,0.246221)
 [0,0.246272)
 [0,0.246343)
 [0,0.246418)
 [0,0.246447)
 [0,0.246449)
 [0,0.246532)
 [0,0.246658)
 [0,0.246676)
 [0,0.246714)
 [0,0.246716)
 [0,0.246757)
 [0,0.246895)
 [0,0.246982)
 [0,0.247002)
 [0,0.247032)
 [0,0.247552)
 [0,0.247588)
 [0,0.247631)
 [0,0.248018)
 [0,0.248069)
 [0,0.248085)
 [0,0.248091)
 [0,0.248244)
 [0,0.248359)
 [0,0.248477)
 [0,0.248574)
 [0,0.2486)
 [0,0.248697)
 [0,0.248727)
 [0,0.248767)
 [0,0.248872)
 [0,0.248888)
 [0,0.248928)
 [0,0.248938)
 [0,0.249008)
 [0,0.249098)
 [0,0.249098)
 [0,0.249163)
 [0,0.2492)
 [0,0.249201)
 [0,0.249201)
 [0,0.249227)
 [0,0.249353)
 [0,0.249724)
 [0,0.249804)
 [0,0.249948)
 [0,0.25)
 [0,0.250002)
 [0,0.250122)
 [0,0.250226)
 [0,0.25041)
 [0,0.250577)
 [0,0.250683)
 [0,0.250785)
 [0,0.251008)
 [0,0.251018)
 [0,0.251072)
 [0,0.251098)
 [0,0.251098)
 [0,0.251113)
 [0,0.251223)
 [0,0.251366)
 [0,0.2514)
 [0,0.251432)
 [0,0.251531)
 [0,0.251718)
 [0,0.251766)
 [0,0.251849)
 [0,0.251956)
 [0,0.252161)
 [0,0.252286)
 [0,0.252385)
 [0,0.252507)
 [0,0.252508)
 [0,0.252517)
 [0,0.25262)
 [0,0.25266)
