point cloud with 25384 points in dimension 3
value range: [0.166713,161.911]
sparse distance matrix with 25384 points and 38847/322173727 entries
persistence intervals in dim 0:
 [0,0.166713)
 [0,0.200315)
 [0,0.206418)
 [0,0.207107)
 [0,0.211684)
 [0,0.212458)
 [0,0.217787)
 [0,0.219515)
 [0,0.221143)
 [0,0.223587)
 [0,0.227436)
 [0,0.228029)
 [0,0.229833)
 [0,0.232286)
 [0,0.234314)
 [0,0.237655)
 [0,0.238353)
 [0,0.239306)
 [0,0.239419)
 [0,0.242596)
 [0,0.243466)
 [0,0.244998)
 [0,0.245484)
 [0,0.24878)
 [0,0.250512)
 [0,0.251862)
 [0,0.254826)
 [0,0.255933)
 [0,0.256134)
 [0,0.257871)
 [0,0.258602)
 [0,0.25999)
 [0,0.261736)
 [0,0.263403)
 [0,0.263507)
 [0,0.264628)
 [0,0.266557)
 [0,0.267078)
 [0,0.268746)
 [0,0.269427)
 [0,0.270917)
 [0,0.271315)
 [0,0.271618)
 [0,0.271962)
 [0,0.272705)
 [0,0.273031)
 [0,0.273686)
 [0,0.274765)
 [0,0.275987)
 [0,0.277252)
 [0,0.278972)
 [0,0.279373)
 [0,0.280316)
 [0,0.281361)
 [0,0.281751)
 [0,0.282133)
 [0,0.282217)
 [0,0.282871)
 [0,0.28344)
 [0,0.284258)
 [0,0.285756)
 [0,0.286008)
 [0,0.286869)
 [0,0.28712)
 [0,0.287196)
 [0,0.287647)
 [0,0.288137)
 [0,0.288679)
 [0,0.289071)
 [0,0.289919)
 [0,0.290628)
 [0,0.29079)
 [0,0.291038)
 [0,0.292387)
 [0,0.294744)
 [0,0.29535)
 [0,0.297111)
 [0,0.297447)
 [0,0.298551)
 [0,0.298599)
 [0,0.298989)
 [0,0.299245)
 [0,0.300367)
 [0,0.300496)
 [0,0.3016)
 [0,0.301689)
 [0,0.302037)
 [0,0.302207)
 [0,0.302656)
 [0,0.302955)
 [0,0.303571)
 [0,0.303588)
 [0,0.304172)
 [0,0.304434)
 [0,0.304669)
 [0,0.305502)
 [0,0.305776)
 [0,0.306006)
 [0,0.306755)
 [0,0.30761)
 [0,0.308164)
 [0,0.308457)
 [0,0.310077)
 [0,0.310208)
 [0,0.310241)
 [0,0.310554)
 [0,0.310715)
 [0,0.31117)
 [0,0.311219)
 [0,0.311374)
 [0,0.311927)
 [0,0.312657)
 [0,0.313437)
 [0,0.313556)
 [0,0.313809)
 [0,0.313937)
 [0,0.314113)
 [0,0.314247)
 [0,0.314255)
 [0,0.314945)
 [0,0.315415)
 [0,0.31588)
 [0,0.316056)
 [0,0.316243)
 [0,0.316753)
 [0,0.317013)
 [0,0.317634)
 [0,0.317982)
 [0,0.318584)
 [0,0.319)
 [0,0.319024)
 [0,0.319348)
 [0,0.31952)
 [0,0.320068)
 [0,0.320905)
 [0,0.321292)
 [0,0.321336)
 [0,0.321344)
 [0,0.322203)
 [0,0.322394)
 [0,0.323163)
 [0,0.323505)
 [0,0.323563)
 [0,0.323681)
 [0,0.324092)
 [0,0.324942)
 [0,0.325036)
 [0,0.325106)
 [0,0.325586)
 [0,0.325799)
 [0,0.326066)
 [0,0.32637)
 [0,0.326449)
 [0,0.326679)
 [0,0.326697)
 [0,0.326943)
 [0,0.327464)
 [0,0.327523)
 [0,0.327528)
 [0,0.32789)
 [0,0.327901)
 [0,0.328283)
 [0,0.328497)
 [0,0.328681)
 [0,0.328809)
 [0,0.329574)
 [0,0.329633)
 [0,0.329684)
 [0,0.329695)
 [0,0.329963)
 [0,0.330453)
 [0,0.330883)
 [0,0.331182)
 [0,0.331204)
 [0,0.332104)
 [0,0.332357)
 [0,0.332738)
 [0,0.333115)
 [0,0.33314)
 [0,0.333333)
 [0,0.333561)
 [0,0.33374)
 [0,0.33382)
 [0,0.333829)
 [0,0.334114)
 [0,0.33428)
 [0,0.335391)
 [0,0.335428)
 [0,0.335457)
 [0,0.335855)
 [0,0.335924)
 [0,0.335993)
 [0,0.335995)
 [0,0.336333)
 [0,0.336463)
 [0,0.336586)
 [0,0.337178)
 [0,0.337559)
 [0,0.337949)
 [0,0.337981)
 [0,0.338369)
 [0,0.338463)
 [0,0.338602)
 [0,0.338764)
 [0,0.339012)
 [0,0.339082)
 [0,0.339179)
 [0,0.339259)
 [0,0.339702)
 [0,0.340394)
 [0,0.34042)
 [0,0.340494)
 [0,0.34061)
 [0,0.340697)
 [0,0.340858)
 [0,0.340933)
 [0,0.340968)
 [0,0.341018)
 [0,0.341437)
 [0,0.341665)
 [0,0.341826)
 [0,0.342138)
 [0,0.342164)
 [0,0.342925)
 [0,0.342993)
 [0,0.343066)
 [0,0.343918)
 [0,0.343939)
 [0,0.343988)
 [0,0.344339)
 [0,0.344369)
 [0,0.345129)
 [0,0.345168)
 [0,0.345291)
 [0,0.345554)
 [0,0.345799)
 [0,0.346095)
 [0,0.346172)
 [0,0.346205)
 [0,0.346666)
 [0,0.347027)
 [0,0.347043)
 [0,0.347097)
 [0,0.347339)
 [0,0.347476)
 [0,0.347478)
 [0,0.347864)
 [0,0.347888)
 [0,0.348004)
 [0,0.348186)
 [0,0.348233)
 [0,0.348354)
 [0,0.348429)
 [0,0.348439)
 [0,0.34851)
 [0,0.348511)
 [0,0.348716)
 [0,0.348882)
 [0,0.34914)
 [0,0.349291)
 [0,0.349321)
 [0,0.34959)
 [0,0.349809)
 [0,0.349869)
 [0,0.349871)
 [0,0.349984)
 [0,0.349985)
 [0,0.349998)
 [0,0.350051)
 [0,0.350642)
 [0,0.350647)
 [0,0.350702)
 [0,0.350708)
 [0,0.35116)
 [0,0.351218)
 [0,0.351219)
 [0,0.351328)
 [0,0.351483)
 [0,0.351633)
 [0,0.351748)
 [0,0.351808)
